Shipment ID,Order ID,Product ID,Origin Location ID,Destination Location ID,Carrier ID,Planned Ship Date,Actual Ship Date,Planned Delivery Date,Actual Delivery Date,Delivery Status,Quantity Shipped,Transportation Cost,Freight Type,Tracking Number,Reason for Delay
SHIP1314,ORD03898,PROD003,WH002,CUST113_ADDR,CAR002,5/31/25,5/31/25,6/5/25,6/6/25,Delayed,115,1538,Ground,TRK12490,Weather
SHIP1315,ORD05655,PROD002,WH001,CUST132_ADDR,CAR001,5/23/25,5/24/25,5/30/25,5/31/25,Delayed,134,1968,LTL,TRK72342,Weather
SHIP1316,ORD03709,PROD004,WH002,CUST121_ADDR,CAR001,6/10/25,6/10/25,6/14/25,6/14/25,Delivered,186,1645,Ground,TRK23513,N/A
SHIP1317,ORD02849,PROD004,WH001,CUST127_ADDR,CAR001,6/14/25,6/14/25,6/20/25,6/20/25,Delivered,55,1792,LTL,TRK39348,N/A
SHIP1318,ORD03422,PROD005,WH001,CUST185_ADDR,CAR004,6/14/25,6/14/25,6/17/25,6/19/25,Delayed,90,1819,Ground,TRK43557,Traffic
SHIP1319,ORD04343,PROD002,WH001,CUST130_ADDR,CAR004,6/5/25,6/5/25,6/11/25,6/11/25,Delivered,14,638,LTL,TRK12394,N/A
SHIP1320,ORD03952,PROD002,WH003,CUST132_ADDR,CAR002,5/17/25,5/18/25,5/22/25,5/22/25,Delivered,55,1582,Ground,TRK49567,N/A
SHIP1321,ORD05629,PROD002,WH001,CUST179_ADDR,CAR004,6/3/25,6/3/25,6/8/25,6/9/25,Delayed,127,1892,Air,TRK46163,Mechanical
SHIP1322,ORD02762,PROD001,WH003,CUST150_ADDR,CAR003,5/21/25,5/21/25,5/23/25,5/23/25,Delivered,91,1910,LTL,TRK06392,N/A
SHIP1323,ORD03940,PROD005,WH001,CUST119_ADDR,CAR002,6/14/25,6/15/25,6/17/25,6/17/25,Delivered,49,1333,Ground,TRK93761,N/A
SHIP1324,ORD00461,PROD002,WH003,CUST195_ADDR,CAR003,6/9/25,6/9/25,6/16/25,6/16/25,Delivered,137,970,Rail,TRK43106,N/A
SHIP1325,ORD04758,PROD005,WH001,CUST183_ADDR,CAR002,6/13/25,6/13/25,6/16/25,6/15/25,Delivered,198,909,Air,TRK89361,N/A
SHIP1326,ORD04634,PROD001,WH002,CUST180_ADDR,CAR003,5/27/25,5/28/25,5/29/25,5/29/25,Delivered,32,1523,Rail,TRK96673,N/A
SHIP1327,ORD05832,PROD002,WH002,CUST179_ADDR,CAR001,5/24/25,5/24/25,5/29/25,5/29/25,Delivered,136,1395,LTL,TRK69925,N/A
SHIP1328,ORD04800,PROD002,WH003,CUST138_ADDR,CAR004,6/1/25,6/2/25,6/4/25,6/4/25,Delivered,142,2000,Ground,TRK79233,N/A
SHIP1329,ORD02583,PROD005,WH001,CUST123_ADDR,CAR004,6/10/25,6/11/25,6/13/25,6/13/25,Delivered,81,1551,Rail,TRK07383,N/A
SHIP1330,ORD02895,PROD005,WH002,CUST105_ADDR,CAR001,6/11/25,6/12/25,6/16/25,6/16/25,Delivered,30,1917,Ground,TRK05710,N/A
SHIP1331,ORD05233,PROD002,WH003,CUST106_ADDR,CAR004,5/27/25,5/28/25,5/30/25,5/31/25,Delayed,127,354,Air,TRK39952,Mechanical
SHIP1332,ORD01843,PROD003,WH002,CUST109_ADDR,CAR003,5/21/25,5/21/25,5/27/25,5/27/25,Delivered,89,568,Ground,TRK62863,N/A
SHIP1333,ORD02102,PROD003,WH003,CUST123_ADDR,CAR002,6/9/25,6/9/25,6/12/25,6/12/25,Delivered,76,1205,LTL,TRK08214,N/A
SHIP1334,ORD04352,PROD002,WH002,CUST187_ADDR,CAR003,6/6/25,6/6/25,6/12/25,6/12/25,Delivered,93,937,LTL,TRK79265,N/A
SHIP1335,ORD04352,PROD005,WH002,CUST176_ADDR,CAR003,5/18/25,5/18/25,5/25/25,5/25/25,Delivered,101,881,Ground,TRK79742,N/A
SHIP1336,ORD03198,PROD003,WH003,CUST191_ADDR,CAR004,6/9/25,6/10/25,6/14/25,6/14/25,Delivered,54,1816,Ground,TRK03945,N/A
SHIP1337,ORD05445,PROD005,WH002,CUST157_ADDR,CAR004,6/9/25,6/9/25,6/16/25,6/16/25,Delivered,114,1436,LTL,TRK28270,N/A
SHIP1338,ORD02454,PROD003,WH001,CUST191_ADDR,CAR004,6/6/25,6/6/25,6/13/25,6/13/25,Delivered,169,1180,LTL,TRK97638,N/A
SHIP1339,ORD02801,PROD001,WH001,CUST200_ADDR,CAR002,5/30/25,5/30/25,6/4/25,6/4/25,Delivered,178,1211,Rail,TRK15361,N/A
SHIP1340,ORD05769,PROD003,WH003,CUST118_ADDR,CAR002,5/25/25,5/26/25,5/27/25,5/27/25,Delivered,182,1799,Ground,TRK36269,N/A
SHIP1341,ORD00095,PROD001,WH003,CUST195_ADDR,CAR002,6/12/25,6/12/25,6/19/25,6/19/25,Delivered,179,1520,Rail,TRK28499,N/A
SHIP1342,ORD05248,PROD004,WH003,CUST132_ADDR,CAR002,6/8/25,6/8/25,6/12/25,6/12/25,Delivered,84,1525,Ground,TRK85568,N/A
SHIP1343,ORD00057,PROD002,WH001,CUST141_ADDR,CAR003,5/20/25,5/21/25,5/27/25,5/28/25,Delayed,190,966,Rail,TRK98063,Traffic
SHIP1344,ORD05234,PROD002,WH003,CUST150_ADDR,CAR003,5/17/25,5/18/25,5/21/25,5/21/25,Delivered,197,1677,Air,TRK15501,N/A
SHIP1345,ORD03628,PROD002,WH003,CUST159_ADDR,CAR003,6/5/25,6/5/25,6/10/25,6/9/25,Delivered,179,1514,LTL,TRK71915,N/A
SHIP1346,ORD01223,PROD002,WH001,CUST133_ADDR,CAR003,5/15/25,5/15/25,5/21/25,5/21/25,Delivered,181,1095,LTL,TRK53879,N/A
SHIP1347,ORD01037,PROD005,WH002,CUST122_ADDR,CAR003,5/28/25,5/28/25,6/2/25,6/3/25,Delayed,147,2000,Air,TRK09093,Weather
SHIP1348,ORD00358,PROD001,WH003,CUST178_ADDR,CAR004,6/7/25,6/7/25,6/10/25,6/10/25,Delivered,59,1392,Air,TRK68231,N/A
SHIP1349,ORD01138,PROD001,WH003,CUST175_ADDR,CAR004,5/17/25,5/17/25,5/22/25,5/23/25,Delayed,184,1822,Ground,TRK71010,Mechanical
SHIP1350,ORD00070,PROD005,WH001,CUST142_ADDR,CAR002,6/13/25,6/13/25,6/15/25,6/15/25,Delivered,13,908,Rail,TRK44404,N/A
SHIP1351,ORD03065,PROD004,WH002,CUST143_ADDR,CAR002,5/26/25,5/26/25,5/30/25,5/30/25,Delivered,12,918,LTL,TRK27859,N/A
SHIP1352,ORD04011,PROD003,WH002,CUST141_ADDR,CAR004,5/28/25,5/29/25,6/4/25,6/4/25,Delivered,104,1924,Ground,TRK82432,N/A
SHIP1353,ORD03827,PROD005,WH001,CUST176_ADDR,CAR004,6/13/25,6/13/25,6/18/25,6/20/25,Delayed,38,1929,Rail,TRK53162,Weather
SHIP1354,ORD00990,PROD003,WH003,CUST186_ADDR,CAR003,5/29/25,5/29/25,6/3/25,6/3/25,Delivered,43,779,Air,TRK51245,N/A
SHIP1355,ORD00113,PROD002,WH002,CUST128_ADDR,CAR002,6/10/25,6/10/25,6/17/25,6/17/25,Delivered,43,393,Air,TRK47701,N/A
SHIP1356,ORD02351,PROD001,WH001,CUST183_ADDR,CAR001,5/28/25,5/28/25,6/1/25,6/1/25,Delivered,194,553,Air,TRK87732,N/A
SHIP1357,ORD04898,PROD003,WH001,CUST194_ADDR,CAR003,6/3/25,6/4/25,6/7/25,6/7/25,Delivered,185,1321,Rail,TRK60427,N/A
SHIP1358,ORD04654,PROD004,WH001,CUST191_ADDR,CAR003,6/8/25,6/8/25,6/14/25,6/14/25,Delivered,46,1540,Air,TRK42059,N/A
SHIP1359,ORD03417,PROD002,WH001,CUST157_ADDR,CAR002,6/5/25,6/6/25,6/11/25,6/11/25,Delivered,139,824,Air,TRK70602,N/A
SHIP1360,ORD01507,PROD005,WH003,CUST124_ADDR,CAR002,6/7/25,6/8/25,6/9/25,6/9/25,Delivered,142,1165,Rail,TRK01868,N/A
SHIP1361,ORD00998,PROD004,WH001,CUST115_ADDR,CAR003,5/20/25,5/21/25,5/23/25,5/24/25,Delayed,158,523,Air,TRK15395,Mechanical
SHIP1362,ORD04531,PROD005,WH002,CUST176_ADDR,CAR003,5/27/25,5/27/25,6/2/25,6/2/25,Delivered,118,443,Air,TRK67842,N/A
SHIP1363,ORD00573,PROD005,WH003,CUST135_ADDR,CAR004,5/18/25,5/18/25,5/20/25,5/21/25,Delayed,78,911,LTL,TRK54896,Traffic
SHIP1364,ORD00368,PROD004,WH003,CUST103_ADDR,CAR004,5/22/25,5/22/25,5/28/25,5/28/25,Delivered,81,1467,Air,TRK61135,N/A
SHIP1365,ORD00531,PROD002,WH003,CUST128_ADDR,CAR004,6/4/25,6/5/25,6/9/25,6/11/25,Delayed,55,1859,Ground,TRK38613,Customs
SHIP1366,ORD05321,PROD002,WH002,CUST200_ADDR,CAR001,6/11/25,6/12/25,6/16/25,6/16/25,Delivered,104,523,LTL,TRK49473,N/A
SHIP1367,ORD05066,PROD004,WH003,CUST105_ADDR,CAR002,6/1/25,6/2/25,6/7/25,6/9/25,Delayed,75,1828,Air,TRK28965,Mechanical
SHIP1368,ORD05606,PROD005,WH003,CUST200_ADDR,CAR002,6/4/25,6/4/25,6/8/25,6/9/25,Delayed,41,1437,Ground,TRK45621,Weather
SHIP1369,ORD03987,PROD001,WH001,CUST179_ADDR,CAR002,6/4/25,6/5/25,6/10/25,6/10/25,Delivered,76,668,Air,TRK73256,N/A
SHIP1370,ORD03780,PROD003,WH002,CUST192_ADDR,CAR002,5/23/25,5/23/25,5/25/25,5/25/25,Delivered,196,556,LTL,TRK68904,N/A
SHIP1371,ORD04475,PROD002,WH001,CUST162_ADDR,CAR002,5/20/25,5/20/25,5/27/25,5/27/25,Delivered,127,1245,Rail,TRK54363,N/A
SHIP1372,ORD04600,PROD002,WH002,CUST181_ADDR,CAR001,5/25/25,5/25/25,5/27/25,5/27/25,Delivered,49,831,LTL,TRK50306,N/A
SHIP1373,ORD04156,PROD003,WH001,CUST138_ADDR,CAR002,5/24/25,5/24/25,5/26/25,5/26/25,Delivered,134,1824,LTL,TRK60740,N/A
SHIP1374,ORD04431,PROD001,WH002,CUST109_ADDR,CAR004,6/5/25,6/5/25,6/8/25,6/9/25,Delayed,131,376,Rail,TRK06605,Weather
SHIP1375,ORD05370,PROD003,WH001,CUST146_ADDR,CAR001,6/11/25,6/11/25,6/17/25,6/17/25,Delivered,99,324,Air,TRK45382,N/A
SHIP1376,ORD00024,PROD004,WH003,CUST136_ADDR,CAR001,5/17/25,5/17/25,5/20/25,5/20/25,Delivered,35,1274,LTL,TRK48490,N/A
SHIP1377,ORD03395,PROD005,WH001,CUST129_ADDR,CAR001,6/3/25,6/4/25,6/10/25,6/9/25,Delivered,158,678,Rail,TRK10458,N/A
SHIP1378,ORD00543,PROD001,WH003,CUST160_ADDR,CAR004,5/28/25,5/28/25,5/30/25,5/29/25,Delivered,102,300,Air,TRK02989,N/A
SHIP1379,ORD04659,PROD004,WH003,CUST170_ADDR,CAR002,5/31/25,5/31/25,6/7/25,6/8/25,Delayed,38,560,Rail,TRK38230,Traffic
SHIP1380,ORD03198,PROD002,WH003,CUST157_ADDR,CAR002,6/6/25,6/6/25,6/10/25,6/10/25,Delivered,53,819,Air,TRK68828,N/A
SHIP1381,ORD01660,PROD003,WH001,CUST124_ADDR,CAR004,6/2/25,6/3/25,6/6/25,6/6/25,Delivered,38,1638,Air,TRK39716,N/A
SHIP1382,ORD05511,PROD005,WH002,CUST171_ADDR,CAR003,5/26/25,5/27/25,6/2/25,6/2/25,Delivered,47,639,Air,TRK30484,N/A
SHIP1383,ORD03737,PROD001,WH002,CUST129_ADDR,CAR001,5/26/25,5/26/25,5/29/25,5/30/25,Delayed,40,744,Ground,TRK77296,Traffic
SHIP1384,ORD02110,PROD003,WH002,CUST110_ADDR,CAR003,5/28/25,5/28/25,5/31/25,5/31/25,Delivered,23,976,Air,TRK17583,N/A
SHIP1385,ORD04697,PROD003,WH002,CUST184_ADDR,CAR002,5/16/25,5/16/25,5/23/25,5/22/25,Delivered,88,333,Ground,TRK24565,N/A
SHIP1386,ORD02552,PROD005,WH003,CUST106_ADDR,CAR002,5/26/25,5/27/25,5/31/25,5/30/25,Delivered,72,787,LTL,TRK87727,N/A
SHIP1387,ORD04828,PROD005,WH001,CUST123_ADDR,CAR001,5/24/25,5/24/25,5/31/25,5/31/25,Delivered,108,1588,Ground,TRK14311,N/A
SHIP1388,ORD05502,PROD001,WH002,CUST135_ADDR,CAR002,5/23/25,5/23/25,5/25/25,5/25/25,Delivered,107,963,Rail,TRK80817,N/A
SHIP1389,ORD05956,PROD001,WH002,CUST160_ADDR,CAR004,5/19/25,5/20/25,5/21/25,5/21/25,Delivered,179,1737,Ground,TRK85862,N/A
SHIP1390,ORD03785,PROD005,WH002,CUST196_ADDR,CAR004,6/8/25,6/9/25,6/10/25,6/11/25,Delayed,17,773,Ground,TRK64958,Mechanical
SHIP1391,ORD02597,PROD004,WH003,CUST109_ADDR,CAR002,6/12/25,6/12/25,6/17/25,6/16/25,Delivered,129,999,Air,TRK04934,N/A
SHIP1392,ORD03382,PROD004,WH003,CUST167_ADDR,CAR003,5/15/25,5/15/25,5/21/25,5/22/25,Delayed,118,1064,Air,TRK80945,Traffic
SHIP1393,ORD02843,PROD001,WH003,CUST166_ADDR,CAR002,5/23/25,5/24/25,5/30/25,5/30/25,Delivered,32,1402,Air,TRK49580,N/A
SHIP1394,ORD01451,PROD002,WH001,CUST168_ADDR,CAR001,5/27/25,5/27/25,5/31/25,5/31/25,Delivered,120,1199,Ground,TRK57354,N/A
SHIP1395,ORD05491,PROD005,WH002,CUST142_ADDR,CAR001,5/23/25,5/23/25,5/28/25,5/28/25,Delivered,113,1798,Rail,TRK97149,N/A
SHIP1396,ORD03183,PROD004,WH003,CUST131_ADDR,CAR004,6/8/25,6/8/25,6/12/25,6/12/25,Delivered,137,1934,Ground,TRK45158,N/A
SHIP1397,ORD02414,PROD005,WH001,CUST122_ADDR,CAR002,5/18/25,5/18/25,5/21/25,5/20/25,Delivered,186,631,LTL,TRK41664,N/A
SHIP1398,ORD02135,PROD005,WH001,CUST146_ADDR,CAR004,5/29/25,5/29/25,6/5/25,6/6/25,Delayed,155,1097,Rail,TRK77651,Traffic
SHIP1399,ORD05894,PROD005,WH001,CUST130_ADDR,CAR004,6/2/25,6/2/25,6/5/25,6/6/25,Delayed,175,1546,LTL,TRK89802,Weather
SHIP1400,ORD05980,PROD003,WH003,CUST185_ADDR,CAR002,5/17/25,5/17/25,5/22/25,5/22/25,Delivered,37,1228,LTL,TRK65343,N/A
SHIP1401,ORD05823,PROD004,WH001,CUST117_ADDR,CAR001,6/6/25,6/6/25,6/10/25,6/10/25,Delivered,27,1145,Ground,TRK73534,N/A
SHIP1402,ORD02569,PROD001,WH003,CUST162_ADDR,CAR001,6/13/25,6/13/25,6/20/25,6/20/25,Delivered,91,742,LTL,TRK83151,N/A
SHIP1403,ORD04654,PROD002,WH002,CUST158_ADDR,CAR003,6/7/25,6/7/25,6/14/25,6/14/25,Delivered,54,796,Ground,TRK71228,N/A
SHIP1404,ORD00933,PROD002,WH003,CUST144_ADDR,CAR004,5/31/25,5/31/25,6/5/25,6/7/25,Delayed,73,946,Rail,TRK55499,Customs
SHIP1405,ORD02269,PROD005,WH001,CUST178_ADDR,CAR002,5/18/25,5/18/25,5/20/25,5/21/25,Delayed,25,1456,Ground,TRK72434,Traffic
SHIP1406,ORD02198,PROD002,WH002,CUST122_ADDR,CAR002,5/25/25,5/25/25,5/31/25,5/31/25,Delivered,56,1520,Rail,TRK40981,N/A
SHIP1407,ORD01573,PROD002,WH003,CUST167_ADDR,CAR003,6/12/25,6/12/25,6/17/25,6/17/25,Delivered,117,1697,Air,TRK77754,N/A
SHIP1408,ORD05400,PROD003,WH002,CUST170_ADDR,CAR003,5/18/25,5/18/25,5/25/25,5/24/25,Delivered,185,1113,Air,TRK02188,N/A
SHIP1409,ORD00369,PROD005,WH002,CUST116_ADDR,CAR003,5/16/25,5/16/25,5/22/25,5/22/25,Delivered,119,412,Ground,TRK30869,N/A
SHIP1410,ORD03235,PROD001,WH002,CUST135_ADDR,CAR004,5/26/25,5/26/25,5/29/25,5/30/25,Delayed,174,1091,Air,TRK02564,Weather
SHIP1411,ORD04705,PROD002,WH003,CUST172_ADDR,CAR004,6/7/25,6/7/25,6/13/25,6/12/25,Delivered,99,1612,Air,TRK21787,N/A
SHIP1412,ORD01326,PROD002,WH003,CUST124_ADDR,CAR001,5/31/25,5/31/25,6/2/25,6/2/25,Delivered,128,1538,Rail,TRK88562,N/A
SHIP1413,ORD00884,PROD002,WH003,CUST180_ADDR,CAR002,6/11/25,6/11/25,6/15/25,6/15/25,Delivered,21,1758,Rail,TRK56525,N/A
SHIP1414,ORD04279,PROD005,WH002,CUST126_ADDR,CAR004,5/29/25,5/29/25,6/5/25,6/5/25,Delivered,86,722,Ground,TRK19484,N/A
SHIP1415,ORD05479,PROD003,WH002,CUST181_ADDR,CAR001,5/17/25,5/17/25,5/21/25,5/20/25,Delivered,194,1004,Air,TRK46371,N/A
SHIP1416,ORD01176,PROD001,WH001,CUST106_ADDR,CAR001,5/26/25,5/26/25,5/28/25,5/28/25,Delivered,151,599,Rail,TRK50830,N/A
SHIP1417,ORD01294,PROD003,WH001,CUST175_ADDR,CAR004,6/7/25,6/7/25,6/12/25,6/13/25,Delayed,193,1877,Ground,TRK23372,Customs
SHIP1418,ORD01569,PROD001,WH001,CUST181_ADDR,CAR001,6/14/25,6/14/25,6/20/25,6/20/25,Delivered,123,1484,Air,TRK56326,N/A
SHIP1419,ORD01505,PROD001,WH003,CUST173_ADDR,CAR004,5/24/25,5/24/25,5/29/25,5/30/25,Delayed,191,1405,Rail,TRK32919,Mechanical
SHIP1420,ORD00822,PROD003,WH003,CUST183_ADDR,CAR004,6/14/25,6/15/25,6/16/25,6/16/25,Delivered,55,1875,Ground,TRK89917,N/A
SHIP1421,ORD05830,PROD005,WH002,CUST184_ADDR,CAR002,6/3/25,6/3/25,6/9/25,6/9/25,Delivered,14,1900,LTL,TRK30120,N/A
SHIP1422,ORD02912,PROD004,WH001,CUST123_ADDR,CAR004,6/11/25,6/12/25,6/18/25,6/18/25,Delivered,181,388,Rail,TRK79480,N/A
SHIP1423,ORD03563,PROD003,WH002,CUST139_ADDR,CAR004,5/30/25,5/30/25,6/5/25,6/5/25,Delivered,168,1233,Ground,TRK40169,N/A
SHIP1424,ORD05833,PROD002,WH003,CUST172_ADDR,CAR003,5/29/25,5/29/25,6/1/25,6/1/25,Delivered,10,1182,Ground,TRK55358,N/A
SHIP1425,ORD00088,PROD003,WH003,CUST163_ADDR,CAR003,5/27/25,5/27/25,5/30/25,6/1/25,Delayed,72,1567,Ground,TRK26181,Mechanical
SHIP1426,ORD01879,PROD001,WH003,CUST199_ADDR,CAR002,6/7/25,6/7/25,6/14/25,6/15/25,Delayed,11,1044,Rail,TRK16185,Weather
SHIP1427,ORD04303,PROD003,WH002,CUST169_ADDR,CAR001,6/2/25,6/2/25,6/8/25,6/8/25,Delivered,106,1342,Rail,TRK36843,N/A
SHIP1428,ORD05005,PROD004,WH002,CUST145_ADDR,CAR003,5/22/25,5/22/25,5/24/25,5/23/25,Delivered,143,396,Rail,TRK50083,N/A
SHIP1429,ORD04007,PROD004,WH003,CUST110_ADDR,CAR003,5/27/25,5/27/25,6/1/25,6/1/25,Delivered,84,514,Rail,TRK75402,N/A
SHIP1430,ORD02365,PROD004,WH003,CUST103_ADDR,CAR004,5/20/25,5/20/25,5/25/25,5/27/25,Delayed,156,1531,Ground,TRK37445,Weather
SHIP1431,ORD03779,PROD004,WH003,CUST191_ADDR,CAR003,5/19/25,5/20/25,5/22/25,5/22/25,Delivered,120,1496,LTL,TRK65770,N/A
SHIP1432,ORD04797,PROD002,WH003,CUST107_ADDR,CAR003,5/27/25,5/28/25,6/2/25,6/1/25,Delivered,97,1969,Air,TRK73876,N/A
SHIP1433,ORD02733,PROD002,WH002,CUST172_ADDR,CAR001,5/23/25,5/23/25,5/27/25,5/27/25,Delivered,174,1199,Air,TRK21772,N/A
SHIP1434,ORD00519,PROD004,WH001,CUST129_ADDR,CAR003,6/10/25,6/10/25,6/12/25,6/12/25,Delivered,191,875,LTL,TRK30281,N/A
SHIP1435,ORD03794,PROD001,WH001,CUST168_ADDR,CAR002,5/17/25,5/18/25,5/20/25,5/21/25,Delayed,58,1545,Air,TRK94517,Customs
SHIP1436,ORD01904,PROD005,WH001,CUST108_ADDR,CAR004,5/29/25,5/29/25,6/1/25,6/1/25,Delivered,136,504,LTL,TRK28827,N/A
SHIP1437,ORD02709,PROD002,WH001,CUST153_ADDR,CAR004,6/11/25,6/11/25,6/18/25,6/18/25,Delivered,90,1776,Ground,TRK85555,N/A
SHIP1438,ORD05497,PROD003,WH003,CUST160_ADDR,CAR004,5/22/25,5/23/25,5/28/25,5/27/25,Delivered,132,1260,Rail,TRK63109,N/A
SHIP1439,ORD03269,PROD002,WH002,CUST121_ADDR,CAR003,5/15/25,5/15/25,5/21/25,5/22/25,Delayed,169,347,Air,TRK69342,Mechanical
SHIP1440,ORD04984,PROD001,WH002,CUST170_ADDR,CAR001,6/9/25,6/9/25,6/11/25,6/11/25,Delivered,124,829,LTL,TRK89617,N/A
SHIP1441,ORD03643,PROD005,WH003,CUST180_ADDR,CAR004,5/15/25,5/15/25,5/20/25,5/20/25,Delivered,20,1509,Air,TRK72147,N/A
SHIP1442,ORD02576,PROD003,WH002,CUST172_ADDR,CAR003,5/19/25,5/20/25,5/26/25,5/26/25,Delivered,88,1382,Ground,TRK33418,N/A
SHIP1443,ORD01172,PROD001,WH001,CUST189_ADDR,CAR001,5/20/25,5/20/25,5/26/25,5/26/25,Delivered,167,1802,Air,TRK34461,N/A
SHIP1444,ORD00968,PROD003,WH001,CUST176_ADDR,CAR002,5/27/25,5/27/25,5/29/25,5/29/25,Delivered,49,368,Rail,TRK10441,N/A
SHIP1445,ORD02164,PROD002,WH001,CUST185_ADDR,CAR003,6/4/25,6/5/25,6/11/25,6/11/25,Delivered,25,1273,Ground,TRK67086,N/A
SHIP1446,ORD02074,PROD002,WH002,CUST117_ADDR,CAR002,6/10/25,6/10/25,6/17/25,6/17/25,Delivered,51,490,LTL,TRK42899,N/A
SHIP1447,ORD03983,PROD002,WH003,CUST124_ADDR,CAR002,5/28/25,5/28/25,5/30/25,5/30/25,Delivered,171,1210,Rail,TRK24386,N/A
SHIP1448,ORD00823,PROD004,WH002,CUST169_ADDR,CAR002,5/22/25,5/22/25,5/28/25,5/30/25,Delayed,140,1919,Rail,TRK41689,Weather
SHIP1449,ORD01240,PROD002,WH003,CUST145_ADDR,CAR004,6/13/25,6/14/25,6/19/25,6/20/25,Delayed,72,1611,Air,TRK85535,Customs
SHIP1450,ORD01071,PROD005,WH003,CUST115_ADDR,CAR004,5/21/25,5/21/25,5/26/25,5/26/25,Delivered,110,1175,Ground,TRK50627,N/A
SHIP1451,ORD03697,PROD005,WH002,CUST195_ADDR,CAR001,6/6/25,6/6/25,6/8/25,6/8/25,Delivered,35,1685,Rail,TRK82737,N/A
SHIP1452,ORD05213,PROD001,WH001,CUST123_ADDR,CAR001,5/28/25,5/28/25,6/4/25,6/4/25,Delivered,199,1581,Rail,TRK48497,N/A
SHIP1453,ORD00862,PROD002,WH003,CUST154_ADDR,CAR002,6/7/25,6/8/25,6/13/25,6/13/25,Delivered,170,1796,Air,TRK22722,N/A
SHIP1454,ORD02745,PROD003,WH001,CUST184_ADDR,CAR003,5/27/25,5/27/25,6/2/25,6/2/25,Delivered,171,634,Air,TRK46699,N/A
SHIP1455,ORD00379,PROD004,WH003,CUST164_ADDR,CAR001,5/23/25,5/24/25,5/27/25,5/29/25,Delayed,148,471,Rail,TRK46619,Weather
SHIP1456,ORD01971,PROD003,WH002,CUST138_ADDR,CAR001,6/14/25,6/14/25,6/19/25,6/19/25,Delivered,138,752,Rail,TRK16454,N/A
SHIP1457,ORD01848,PROD002,WH002,CUST102_ADDR,CAR002,5/24/25,5/24/25,5/29/25,5/29/25,Delivered,173,1225,Rail,TRK42207,N/A
SHIP1458,ORD05211,PROD003,WH003,CUST125_ADDR,CAR003,5/23/25,5/23/25,5/28/25,5/30/25,Delayed,50,852,Ground,TRK12722,Traffic
SHIP1459,ORD03446,PROD002,WH002,CUST156_ADDR,CAR003,6/2/25,6/2/25,6/6/25,6/6/25,Delivered,104,1863,Ground,TRK89642,N/A
SHIP1460,ORD03158,PROD002,WH001,CUST109_ADDR,CAR002,6/12/25,6/12/25,6/15/25,6/14/25,Delivered,80,1855,Ground,TRK15653,N/A
SHIP1461,ORD05539,PROD001,WH001,CUST109_ADDR,CAR002,5/22/25,5/22/25,5/29/25,5/29/25,Delivered,69,1013,Ground,TRK44459,N/A
SHIP1462,ORD03167,PROD002,WH002,CUST181_ADDR,CAR001,5/16/25,5/17/25,5/18/25,5/20/25,Delayed,140,1885,LTL,TRK31431,Mechanical
SHIP1463,ORD04850,PROD001,WH003,CUST127_ADDR,CAR001,6/3/25,6/3/25,6/6/25,6/6/25,Delivered,43,1122,LTL,TRK04482,N/A
SHIP1464,ORD02687,PROD003,WH001,CUST150_ADDR,CAR003,5/22/25,5/23/25,5/27/25,5/27/25,Delivered,191,1750,Ground,TRK72991,N/A
SHIP1465,ORD00424,PROD001,WH001,CUST183_ADDR,CAR003,5/29/25,5/29/25,5/31/25,5/31/25,Delivered,200,366,Air,TRK25440,N/A
SHIP1466,ORD03377,PROD003,WH001,CUST137_ADDR,CAR001,5/27/25,5/28/25,5/31/25,5/30/25,Delivered,160,474,Rail,TRK26692,N/A
SHIP1467,ORD01214,PROD001,WH003,CUST161_ADDR,CAR002,5/25/25,5/26/25,6/1/25,6/1/25,Delivered,181,623,Ground,TRK66907,N/A
SHIP1468,ORD01071,PROD002,WH001,CUST167_ADDR,CAR001,5/30/25,5/31/25,6/5/25,6/5/25,Delivered,81,817,Rail,TRK74636,N/A
SHIP1469,ORD01397,PROD003,WH002,CUST135_ADDR,CAR002,6/12/25,6/12/25,6/15/25,6/15/25,Delivered,31,1528,Air,TRK79120,N/A
SHIP1470,ORD05834,PROD005,WH002,CUST183_ADDR,CAR003,5/17/25,5/18/25,5/23/25,5/23/25,Delivered,62,1575,Rail,TRK31145,N/A
SHIP1471,ORD01459,PROD003,WH003,CUST131_ADDR,CAR004,5/30/25,5/30/25,6/4/25,6/4/25,Delivered,61,1612,Rail,TRK14381,N/A
SHIP1472,ORD02357,PROD005,WH002,CUST146_ADDR,CAR004,6/4/25,6/4/25,6/6/25,6/6/25,Delivered,157,1311,Rail,TRK31030,N/A
SHIP1473,ORD00547,PROD005,WH002,CUST156_ADDR,CAR002,6/2/25,6/2/25,6/9/25,6/9/25,Delivered,111,1908,Ground,TRK33570,N/A
SHIP1474,ORD03745,PROD004,WH002,CUST137_ADDR,CAR001,6/3/25,6/4/25,6/10/25,6/10/25,Delivered,104,1153,Air,TRK53897,N/A
SHIP1475,ORD05996,PROD003,WH003,CUST115_ADDR,CAR002,6/13/25,6/13/25,6/19/25,6/19/25,Delivered,82,1713,Ground,TRK30008,N/A
SHIP1476,ORD01990,PROD003,WH003,CUST194_ADDR,CAR002,5/30/25,5/30/25,6/5/25,6/5/25,Delivered,108,404,Rail,TRK09208,N/A
SHIP1477,ORD02066,PROD001,WH002,CUST193_ADDR,CAR003,5/18/25,5/19/25,5/24/25,5/24/25,Delivered,100,762,Air,TRK82825,N/A
