Purchase Order ID,Product ID,Supplier ID,Order Date,Requested Delivery Date (Supplier),Actual Delivery Date (Supplier),Quantity Ordered,Quantity Received,Unit Cost,Total PO Value,Payment Terms,Supplier Lead Time (Standard),Supplier Quality Rating
PO0697,PROD001,SUPP001,5/17/25,5/30/25,5/31/25,83,82,139,"11,537",Net 30,13,B
PO0698,PROD005,SUPP001,5/2/25,5/20/25,5/18/25,270,268,165,"44,550",Net 45,18,A
PO0699,PROD001,SUPP004,5/20/25,6/7/25,6/6/25,290,285,165,"47,850",Net 30,18,C
PO0700,PROD003,SUPP003,4/9/25,4/26/25,4/28/25,368,364,65,"23,920",Net 60,17,A
PO0701,PROD001,SUPP002,4/7/25,4/24/25,4/22/25,484,483,94,"45,496",Net 30,17,C
PO0702,PROD003,SUPP002,4/16/25,4/26/25,4/24/25,71,68,101,"7,171",Net 30,10,C
PO0703,PROD001,SUPP003,4/19/25,4/30/25,5/3/25,441,439,77,"33,957",Net 30,11,A
PO0704,PROD005,SUPP003,5/6/25,5/22/25,5/24/25,269,265,95,"25,555",Net 30,16,B
PO0705,PROD001,SUPP003,5/5/25,5/15/25,5/14/25,452,450,171,"77,292",Net 60,10,C
PO0706,PROD001,SUPP004,5/15/25,5/30/25,6/1/25,73,73,101,"7,373",Net 60,15,B
PO0707,PROD005,SUPP001,5/24/25,6/13/25,6/11/25,86,85,111,"9,546",Net 45,20,C
PO0708,PROD003,SUPP002,5/22/25,6/5/25,6/3/25,431,427,126,"54,306",Net 60,14,C
PO0709,PROD003,SUPP002,5/3/25,5/19/25,5/17/25,361,361,45,"16,245",Net 60,16,B
PO0710,PROD004,SUPP002,5/20/25,6/7/25,6/9/25,487,486,63,"30,681",Net 30,18,B
PO0711,PROD005,SUPP001,4/11/25,4/22/25,4/25/25,25,21,167,"4,175",Net 30,11,A
PO0712,PROD004,SUPP002,4/8/25,4/26/25,4/25/25,181,180,83,"15,023",Net 30,18,C
PO0713,PROD003,SUPP004,4/9/25,4/20/25,4/22/25,210,209,57,"11,970",Net 45,11,B
PO0714,PROD005,SUPP001,4/16/25,4/30/25,5/3/25,372,368,96,"35,712",Net 30,14,B
PO0715,PROD002,SUPP001,5/12/25,5/30/25,5/28/25,447,443,109,"48,723",Net 60,18,B
PO0716,PROD005,SUPP004,5/27/25,6/15/25,6/18/25,146,142,200,"29,200",Net 30,19,A
PO0717,PROD002,SUPP001,5/23/25,6/9/25,6/12/25,483,482,47,"22,701",Net 30,17,B
PO0718,PROD004,SUPP004,4/8/25,4/27/25,4/26/25,437,435,98,"42,826",Net 60,19,B
PO0719,PROD001,SUPP001,4/13/25,4/27/25,4/29/25,489,486,144,"70,416",Net 60,14,B
PO0720,PROD003,SUPP002,4/16/25,5/1/25,4/30/25,38,38,138,"5,244",Net 30,15,B
PO0721,PROD004,SUPP002,4/4/25,4/20/25,4/23/25,94,93,80,"7,520",Net 45,16,C
PO0722,PROD002,SUPP003,5/29/25,6/9/25,6/11/25,217,216,86,"18,662",Net 45,11,B
PO0723,PROD005,SUPP001,5/29/25,6/14/25,6/17/25,65,64,171,"11,115",Net 45,16,A
PO0724,PROD005,SUPP001,4/21/25,5/11/25,5/13/25,325,324,104,"33,800",Net 30,20,A
PO0725,PROD004,SUPP001,4/7/25,4/18/25,4/18/25,423,419,58,"24,534",Net 60,11,C
PO0726,PROD003,SUPP004,5/30/25,6/15/25,6/13/25,248,244,79,"19,592",Net 45,16,A
PO0727,PROD002,SUPP003,4/30/25,5/20/25,5/22/25,291,287,155,"45,105",Net 45,20,A
PO0728,PROD003,SUPP003,4/23/25,5/13/25,5/15/25,449,447,183,"82,167",Net 45,20,C
PO0729,PROD003,SUPP002,5/16/25,6/2/25,6/4/25,25,21,180,"4,500",Net 30,17,B
PO0730,PROD002,SUPP002,4/4/25,4/15/25,4/16/25,62,58,85,"5,270",Net 30,11,B
PO0731,PROD001,SUPP001,4/24/25,5/4/25,5/6/25,77,75,83,"6,391",Net 30,10,B
PO0732,PROD002,SUPP001,5/18/25,6/1/25,6/1/25,341,340,86,"29,326",Net 60,14,C
PO0733,PROD001,SUPP002,4/29/25,5/12/25,5/12/25,196,193,131,"25,676",Net 45,13,B
PO0734,PROD001,SUPP002,4/10/25,4/24/25,4/26/25,398,396,122,"48,556",Net 45,14,A
PO0735,PROD004,SUPP003,4/18/25,4/29/25,4/30/25,300,295,54,"16,200",Net 30,11,B
PO0736,PROD001,SUPP004,5/11/25,5/26/25,5/25/25,156,155,121,"18,876",Net 45,15,A
PO0737,PROD001,SUPP004,4/9/25,4/26/25,4/25/25,337,334,166,"55,942",Net 45,17,C
PO0738,PROD005,SUPP004,4/6/25,4/26/25,4/24/25,170,169,59,"10,030",Net 45,20,C
PO0739,PROD005,SUPP003,4/11/25,4/26/25,4/25/25,56,53,44,"2,464",Net 45,15,B
PO0740,PROD001,SUPP002,5/5/25,5/23/25,5/23/25,313,310,110,"34,430",Net 30,18,A
PO0741,PROD002,SUPP001,4/9/25,4/25/25,4/23/25,256,254,195,"49,920",Net 45,16,B
PO0742,PROD001,SUPP002,4/21/25,5/10/25,5/9/25,426,424,78,"33,228",Net 60,19,A
PO0743,PROD005,SUPP004,4/26/25,5/15/25,5/15/25,157,157,160,"25,120",Net 45,19,C
PO0744,PROD005,SUPP003,4/29/25,5/15/25,5/17/25,111,109,57,"6,327",Net 60,16,A
PO0745,PROD003,SUPP001,4/18/25,5/7/25,5/7/25,146,146,59,"8,614",Net 45,19,A
PO0746,PROD003,SUPP003,4/24/25,5/7/25,5/10/25,414,412,178,"73,692",Net 30,13,B
PO0747,PROD003,SUPP002,4/29/25,5/13/25,5/14/25,474,473,174,"82,476",Net 60,14,A
PO0748,PROD002,SUPP003,5/15/25,5/28/25,5/26/25,343,343,178,"61,054",Net 30,13,C
PO0749,PROD004,SUPP004,5/20/25,6/4/25,6/2/25,490,487,77,"37,730",Net 45,15,A
PO0750,PROD001,SUPP002,5/5/25,5/20/25,5/19/25,428,423,124,"53,072",Net 45,15,A
PO0751,PROD005,SUPP002,4/22/25,5/5/25,5/5/25,97,96,159,"15,423",Net 60,13,C
PO0752,PROD005,SUPP002,4/13/25,4/23/25,4/21/25,295,294,72,"21,240",Net 30,10,B
PO0753,PROD002,SUPP004,5/7/25,5/26/25,5/25/25,119,114,147,"17,493",Net 30,19,A
PO0754,PROD002,SUPP001,5/9/25,5/24/25,5/24/25,183,183,138,"25,254",Net 45,15,C
PO0755,PROD003,SUPP002,4/7/25,4/25/25,4/25/25,450,447,60,"27,000",Net 60,18,B
PO0756,PROD001,SUPP003,5/27/25,6/15/25,6/13/25,133,128,184,"24,472",Net 30,19,A
PO0757,PROD004,SUPP001,5/21/25,6/2/25,6/1/25,109,108,133,"14,497",Net 60,12,C
PO0758,PROD002,SUPP001,5/2/25,5/17/25,5/15/25,293,292,154,"45,122",Net 60,15,A
PO0759,PROD004,SUPP001,4/5/25,4/15/25,4/16/25,190,185,54,"10,260",Net 60,10,C
PO0760,PROD003,SUPP004,5/27/25,6/8/25,6/8/25,296,294,128,"37,888",Net 30,12,C
PO0761,PROD005,SUPP003,4/14/25,5/2/25,5/4/25,405,400,111,"44,955",Net 45,18,C
PO0762,PROD005,SUPP004,5/28/25,6/10/25,6/9/25,137,135,151,"20,687",Net 45,13,B
PO0763,PROD003,SUPP001,4/29/25,5/10/25,5/11/25,458,458,101,"46,258",Net 60,11,A
PO0764,PROD005,SUPP001,5/16/25,6/1/25,5/30/25,166,161,193,"32,038",Net 45,16,C
PO0765,PROD002,SUPP003,5/2/25,5/15/25,5/16/25,329,328,99,"32,571",Net 30,13,B
PO0766,PROD002,SUPP004,4/4/25,4/18/25,4/21/25,104,102,169,"17,576",Net 45,14,B
PO0767,PROD004,SUPP003,5/25/25,6/9/25,6/8/25,499,498,84,"41,916",Net 45,15,B
PO0768,PROD002,SUPP001,4/7/25,4/20/25,4/20/25,479,477,71,"34,009",Net 30,13,B
PO0769,PROD002,SUPP002,5/10/25,5/25/25,5/26/25,198,197,51,"10,098",Net 30,15,C
PO0770,PROD005,SUPP001,4/23/25,5/5/25,5/3/25,398,396,160,"63,680",Net 45,12,B
PO0771,PROD003,SUPP001,5/24/25,6/11/25,6/14/25,397,394,184,"73,048",Net 30,18,B
PO0772,PROD004,SUPP001,5/23/25,6/6/25,6/4/25,295,294,195,"57,525",Net 30,14,B
PO0773,PROD002,SUPP002,4/20/25,5/3/25,5/2/25,286,284,179,"51,194",Net 30,13,C
PO0774,PROD002,SUPP001,5/21/25,6/8/25,6/8/25,424,423,183,"77,592",Net 30,18,A
PO0775,PROD003,SUPP001,4/11/25,4/30/25,5/1/25,280,280,104,"29,120",Net 60,19,B
PO0776,PROD001,SUPP003,4/15/25,4/25/25,4/25/25,197,192,116,"22,852",Net 45,10,B
PO0777,PROD002,SUPP002,5/30/25,6/18/25,6/19/25,334,332,113,"37,742",Net 60,19,B
PO0778,PROD002,SUPP003,4/3/25,4/13/25,4/14/25,47,44,115,"5,405",Net 45,10,C
PO0779,PROD002,SUPP003,4/8/25,4/22/25,4/23/25,339,334,40,"13,560",Net 30,14,A
PO0780,PROD004,SUPP004,5/15/25,5/28/25,5/26/25,272,268,192,"52,224",Net 30,13,C
PO0781,PROD004,SUPP001,5/7/25,5/18/25,5/18/25,403,398,135,"54,405",Net 30,11,A
PO0782,PROD001,SUPP004,4/25/25,5/15/25,5/13/25,158,158,179,"28,282",Net 45,20,C
PO0783,PROD003,SUPP004,4/20/25,5/6/25,5/7/25,329,326,42,"13,818",Net 30,16,A
PO0784,PROD004,SUPP004,4/29/25,5/15/25,5/17/25,325,322,167,"54,275",Net 45,16,B
PO0785,PROD005,SUPP004,4/4/25,4/15/25,4/14/25,495,495,129,"63,855",Net 30,11,A
PO0786,PROD001,SUPP002,5/26/25,6/13/25,6/13/25,124,122,70,"8,680",Net 30,18,B
PO0787,PROD005,SUPP001,4/7/25,4/27/25,4/30/25,426,422,134,"57,084",Net 45,20,A
PO0788,PROD004,SUPP001,4/4/25,4/24/25,4/27/25,41,36,49,"2,009",Net 30,20,C
PO0789,PROD004,SUPP004,4/20/25,5/4/25,5/3/25,288,287,138,"39,744",Net 45,14,A
PO0790,PROD002,SUPP001,4/9/25,4/27/25,4/28/25,238,236,163,"38,794",Net 45,18,C
PO0791,PROD004,SUPP001,5/30/25,6/11/25,6/9/25,34,29,48,"1,632",Net 45,12,A
PO0792,PROD005,SUPP001,4/12/25,5/1/25,4/29/25,361,361,89,"32,129",Net 45,19,B
PO0793,PROD001,SUPP001,5/6/25,5/26/25,5/24/25,207,203,73,"15,111",Net 30,20,A
PO0794,PROD004,SUPP003,5/1/25,5/18/25,5/17/25,469,467,188,"88,172",Net 30,17,C
PO0795,PROD004,SUPP001,5/16/25,6/2/25,5/31/25,341,338,43,"14,663",Net 60,17,A
PO0796,PROD002,SUPP003,4/21/25,5/8/25,5/10/25,111,107,40,"4,440",Net 45,17,C
PO0797,PROD005,SUPP003,4/11/25,4/22/25,4/24/25,303,298,130,"39,390",Net 30,11,B
PO0798,PROD002,SUPP004,4/2/25,4/21/25,4/19/25,498,494,150,"74,700",Net 45,19,B
PO0799,PROD003,SUPP001,5/19/25,6/7/25,6/8/25,405,405,98,"39,690",Net 60,19,A
PO0800,PROD001,SUPP002,4/14/25,5/2/25,5/2/25,51,47,162,"8,262",Net 45,18,A
PO0801,PROD003,SUPP004,4/15/25,5/2/25,5/1/25,263,262,80,"21,040",Net 45,17,A
PO0802,PROD005,SUPP003,5/10/25,5/24/25,5/24/25,353,348,117,"41,301",Net 30,14,C
PO0803,PROD004,SUPP001,4/4/25,4/14/25,4/15/25,358,354,154,"55,132",Net 45,10,C
PO0804,PROD003,SUPP001,5/31/25,6/10/25,6/11/25,472,469,183,"86,376",Net 45,10,C
PO0805,PROD004,SUPP004,5/15/25,5/26/25,5/29/25,309,305,139,"42,951",Net 60,11,C
PO0806,PROD001,SUPP001,4/24/25,5/11/25,5/12/25,211,209,129,"27,219",Net 30,17,A
PO0807,PROD001,SUPP002,4/3/25,4/18/25,4/18/25,397,395,56,"22,232",Net 45,15,B
PO0808,PROD002,SUPP002,4/19/25,5/8/25,5/7/25,395,390,49,"19,355",Net 60,19,A
PO0809,PROD004,SUPP002,4/15/25,4/25/25,4/25/25,77,73,94,"7,238",Net 30,10,A
PO0810,PROD005,SUPP003,4/20/25,5/6/25,5/8/25,208,208,193,"40,144",Net 30,16,B
PO0811,PROD002,SUPP001,5/17/25,5/29/25,6/1/25,183,178,94,"17,202",Net 30,12,A
PO0812,PROD004,SUPP004,5/2/25,5/15/25,5/18/25,186,185,137,"25,482",Net 30,13,B
PO0813,PROD002,SUPP002,5/26/25,6/9/25,6/9/25,232,232,63,"14,616",Net 45,14,B
PO0814,PROD002,SUPP003,5/29/25,6/14/25,6/13/25,434,429,71,"30,814",Net 30,16,C
PO0815,PROD002,SUPP004,5/25/25,6/14/25,6/16/25,180,178,108,"19,440",Net 45,20,C
PO0816,PROD004,SUPP003,4/1/25,4/15/25,4/14/25,322,317,188,"60,536",Net 30,14,C
PO0817,PROD002,SUPP001,5/13/25,5/23/25,5/24/25,300,296,141,"42,300",Net 60,10,B
PO0818,PROD004,SUPP002,5/17/25,6/5/25,6/7/25,310,309,101,"31,310",Net 60,19,C
PO0819,PROD004,SUPP001,4/13/25,4/25/25,4/25/25,300,297,76,"22,800",Net 45,12,C
PO0820,PROD004,SUPP001,5/27/25,6/13/25,6/16/25,95,95,86,"8,170",Net 60,17,B
PO0821,PROD002,SUPP003,4/1/25,4/17/25,4/15/25,150,150,133,"19,950",Net 60,16,C
PO0822,PROD004,SUPP003,5/31/25,6/13/25,6/13/25,33,28,152,"5,016",Net 45,13,B
PO0823,PROD005,SUPP004,5/6/25,5/17/25,5/19/25,284,279,173,"49,132",Net 60,11,A
PO0824,PROD004,SUPP001,5/26/25,6/13/25,6/12/25,201,197,186,"37,386",Net 60,18,B
PO0825,PROD001,SUPP001,4/21/25,5/2/25,5/1/25,332,329,181,"60,092",Net 45,11,A
PO0826,PROD004,SUPP004,5/7/25,5/27/25,5/25/25,483,481,189,"91,287",Net 30,20,A
PO0827,PROD003,SUPP003,4/16/25,5/1/25,5/2/25,84,84,183,"15,372",Net 45,15,C
PO0828,PROD005,SUPP004,4/28/25,5/9/25,5/7/25,63,59,190,"11,970",Net 45,11,C
PO0829,PROD005,SUPP004,4/11/25,4/23/25,4/21/25,414,412,111,"45,954",Net 60,12,B
PO0830,PROD003,SUPP002,5/24/25,6/10/25,6/8/25,78,78,137,"10,686",Net 30,17,A
PO0831,PROD004,SUPP001,5/29/25,6/10/25,6/10/25,387,386,115,"44,505",Net 60,12,B
PO0832,PROD005,SUPP002,4/15/25,5/1/25,5/2/25,425,425,143,"60,775",Net 60,16,C
PO0833,PROD003,SUPP003,4/13/25,4/29/25,5/2/25,36,34,160,"5,760",Net 45,16,B
PO0834,PROD003,SUPP004,4/16/25,5/6/25,5/7/25,154,152,58,"8,932",Net 45,20,A
PO0835,PROD005,SUPP003,5/9/25,5/24/25,5/25/25,129,128,175,"22,575",Net 30,15,C
PO0836,PROD002,SUPP001,4/14/25,4/30/25,5/1/25,160,155,153,"24,480",Net 30,16,A
PO0837,PROD004,SUPP003,4/4/25,4/21/25,4/22/25,126,125,189,"23,814",Net 45,17,B
PO0838,PROD005,SUPP001,5/31/25,6/18/25,6/17/25,223,219,143,"31,889",Net 60,18,C
PO0839,PROD004,SUPP004,5/14/25,5/27/25,5/26/25,394,394,118,"46,492",Net 30,13,B
PO0840,PROD005,SUPP002,5/10/25,5/29/25,5/30/25,419,418,59,"24,721",Net 30,19,A
PO0841,PROD001,SUPP002,4/20/25,5/10/25,5/12/25,480,477,42,"20,160",Net 60,20,B
PO0842,PROD002,SUPP004,4/25/25,5/6/25,5/5/25,274,270,74,"20,276",Net 30,11,B
PO0843,PROD005,SUPP004,5/7/25,5/19/25,5/17/25,326,321,195,"63,570",Net 45,12,C
PO0844,PROD004,SUPP003,5/25/25,6/8/25,6/11/25,283,279,115,"32,545",Net 45,14,C
PO0845,PROD001,SUPP001,4/10/25,4/24/25,4/26/25,366,365,196,"71,736",Net 30,14,B
PO0846,PROD002,SUPP002,4/23/25,5/12/25,5/12/25,127,124,52,"6,604",Net 30,19,C
PO0847,PROD003,SUPP004,5/13/25,5/23/25,5/23/25,30,28,61,"1,830",Net 45,10,A
PO0848,PROD002,SUPP002,4/29/25,5/14/25,5/13/25,155,151,115,"17,825",Net 30,15,C
PO0849,PROD001,SUPP004,4/19/25,4/30/25,4/28/25,45,42,52,"2,340",Net 60,11,A
PO0850,PROD005,SUPP002,5/30/25,6/14/25,6/14/25,125,125,175,"21,875",Net 30,15,C
PO0851,PROD004,SUPP002,5/18/25,5/30/25,5/28/25,370,366,56,"20,720",Net 60,12,A
PO0852,PROD004,SUPP001,5/5/25,5/23/25,5/25/25,402,401,139,"55,878",Net 45,18,C
PO0853,PROD003,SUPP003,4/16/25,5/1/25,4/30/25,276,273,183,"50,508",Net 30,15,B
PO0854,PROD005,SUPP004,4/6/25,4/22/25,4/20/25,270,268,190,"51,300",Net 60,16,B
PO0855,PROD002,SUPP003,4/17/25,5/2/25,5/3/25,299,298,101,"30,199",Net 30,15,B
PO0856,PROD001,SUPP003,5/18/25,6/1/25,6/1/25,113,111,128,"14,464",Net 60,14,A
PO0857,PROD003,SUPP003,5/2/25,5/19/25,5/22/25,289,289,40,"11,560",Net 60,17,C
PO0858,PROD004,SUPP004,5/5/25,5/20/25,5/19/25,82,77,164,"13,448",Net 60,15,A
PO0859,PROD003,SUPP004,5/3/25,5/21/25,5/21/25,142,137,60,"8,520",Net 60,18,A
PO0860,PROD005,SUPP002,4/5/25,4/24/25,4/27/25,36,31,58,"2,088",Net 30,19,A
PO0861,PROD002,SUPP001,5/17/25,6/2/25,6/4/25,175,170,119,"20,825",Net 60,16,A
PO0862,PROD002,SUPP001,4/28/25,5/9/25,5/9/25,87,83,140,"12,180",Net 60,11,B
PO0863,PROD002,SUPP003,4/10/25,4/25/25,4/28/25,413,409,141,"58,233",Net 30,15,C
PO0864,PROD003,SUPP002,4/24/25,5/13/25,5/13/25,118,114,148,"17,464",Net 60,19,B
PO0865,PROD005,SUPP001,5/29/25,6/8/25,6/11/25,440,437,40,"17,600",Net 60,10,B
PO0866,PROD005,SUPP004,5/11/25,5/28/25,5/31/25,422,417,133,"56,126",Net 45,17,A
PO0867,PROD001,SUPP002,4/21/25,5/3/25,5/4/25,470,470,133,"62,510",Net 45,12,C
PO0868,PROD002,SUPP001,5/14/25,5/29/25,5/31/25,91,89,174,"15,834",Net 60,15,A
PO0869,PROD005,SUPP002,5/13/25,5/26/25,5/24/25,355,352,67,"23,785",Net 30,13,B
PO0870,PROD005,SUPP004,5/3/25,5/15/25,5/14/25,321,320,129,"41,409",Net 60,12,B
PO0871,PROD004,SUPP001,4/19/25,5/4/25,5/6/25,123,119,148,"18,204",Net 30,15,A
PO0872,PROD001,SUPP004,5/9/25,5/24/25,5/22/25,206,206,142,"29,252",Net 60,15,B
PO0873,PROD001,SUPP003,4/25/25,5/7/25,5/7/25,377,375,100,"37,700",Net 60,12,C
PO0874,PROD003,SUPP002,4/17/25,5/5/25,5/8/25,331,328,166,"54,946",Net 30,18,B
PO0875,PROD004,SUPP002,4/8/25,4/26/25,4/27/25,414,410,198,"81,972",Net 60,18,A
PO0876,PROD003,SUPP001,5/30/25,6/15/25,6/13/25,304,302,169,"51,376",Net 45,16,C
PO0877,PROD003,SUPP001,4/15/25,4/26/25,4/26/25,406,402,132,"53,592",Net 45,11,B
PO0878,PROD001,SUPP002,4/12/25,4/30/25,4/28/25,486,484,192,"93,312",Net 45,18,B
PO0879,PROD004,SUPP002,4/21/25,5/8/25,5/7/25,390,387,52,"20,280",Net 60,17,B
PO0880,PROD002,SUPP002,4/25/25,5/13/25,5/12/25,273,269,89,"24,297",Net 60,18,C
PO0881,PROD005,SUPP001,4/23/25,5/11/25,5/13/25,359,359,142,"50,978",Net 45,18,A
PO0882,PROD001,SUPP002,5/5/25,5/24/25,5/22/25,484,483,101,"48,884",Net 60,19,B
PO0883,PROD001,SUPP003,4/8/25,4/27/25,4/27/25,421,421,113,"47,573",Net 60,19,A
PO0884,PROD004,SUPP003,5/15/25,6/3/25,6/6/25,490,490,134,"65,660",Net 30,19,C
PO0885,PROD004,SUPP004,4/1/25,4/17/25,4/18/25,218,213,77,"16,786",Net 45,16,B
PO0886,PROD005,SUPP001,4/9/25,4/24/25,4/24/25,415,412,156,"64,740",Net 30,15,A
PO0887,PROD002,SUPP002,4/14/25,5/1/25,5/2/25,448,444,81,"36,288",Net 30,17,B
PO0888,PROD003,SUPP002,5/18/25,6/5/25,6/3/25,295,294,176,"51,920",Net 60,18,C
PO0889,PROD001,SUPP003,4/29/25,5/10/25,5/13/25,81,77,60,"4,860",Net 45,11,B
PO0890,PROD002,SUPP004,4/21/25,5/11/25,5/9/25,295,292,184,"54,280",Net 30,20,C
PO0891,PROD005,SUPP003,4/10/25,4/23/25,4/23/25,437,436,161,"70,357",Net 60,13,C
PO0892,PROD003,SUPP003,4/18/25,5/7/25,5/5/25,418,418,114,"47,652",Net 30,19,B
PO0893,PROD001,SUPP001,5/19/25,5/29/25,6/1/25,153,148,73,"11,169",Net 30,10,B
PO0894,PROD003,SUPP004,5/20/25,5/31/25,5/29/25,158,153,51,"8,058",Net 60,11,C
PO0895,PROD004,SUPP004,4/16/25,5/5/25,5/7/25,492,492,114,"56,088",Net 30,19,C
PO0896,PROD005,SUPP001,5/19/25,6/6/25,6/4/25,25,21,52,"1,300",Net 60,18,C
PO0897,PROD002,SUPP001,5/25/25,6/4/25,6/3/25,149,144,173,"25,777",Net 45,10,A
PO0898,PROD005,SUPP004,4/18/25,5/7/25,5/8/25,93,92,62,"5,766",Net 60,19,A
PO0899,PROD003,SUPP001,4/10/25,4/20/25,4/18/25,431,429,192,"82,752",Net 60,10,C
PO0900,PROD005,SUPP001,5/8/25,5/19/25,5/21/25,448,444,109,"48,832",Net 30,11,C
PO0901,PROD004,SUPP003,5/2/25,5/16/25,5/17/25,235,230,176,"41,360",Net 45,14,C
PO0902,PROD003,SUPP003,4/5/25,4/21/25,4/22/25,300,295,177,"53,100",Net 45,16,A
PO0903,PROD001,SUPP004,4/28/25,5/14/25,5/13/25,440,440,115,"50,600",Net 45,16,C
PO0904,PROD003,SUPP003,4/28/25,5/17/25,5/18/25,78,78,121,"9,438",Net 45,19,C
PO0905,PROD004,SUPP002,5/9/25,5/21/25,5/20/25,438,434,42,"18,396",Net 30,12,C
PO0906,PROD005,SUPP004,4/16/25,5/2/25,5/5/25,61,61,90,"5,490",Net 60,16,C
PO0907,PROD005,SUPP003,4/19/25,5/6/25,5/5/25,74,73,102,"7,548",Net 60,17,A
PO0908,PROD005,SUPP003,5/23/25,6/7/25,6/9/25,476,472,187,"89,012",Net 45,15,A
PO0909,PROD003,SUPP001,5/23/25,6/5/25,6/8/25,405,404,115,"46,575",Net 60,13,A
PO0910,PROD002,SUPP001,4/26/25,5/15/25,5/15/25,356,356,95,"33,820",Net 60,19,B
PO0911,PROD002,SUPP004,4/17/25,4/29/25,4/28/25,450,450,145,"65,250",Net 45,12,C
PO0912,PROD001,SUPP003,4/20/25,5/9/25,5/8/25,309,304,107,"33,063",Net 30,19,B
PO0913,PROD005,SUPP003,4/25/25,5/8/25,5/9/25,392,387,134,"52,528",Net 30,13,C
PO0914,PROD005,SUPP002,4/1/25,4/12/25,4/13/25,304,300,177,"53,808",Net 45,11,C
PO0915,PROD005,SUPP001,5/5/25,5/25/25,5/26/25,129,126,74,"9,546",Net 30,20,B
PO0916,PROD001,SUPP002,5/4/25,5/17/25,5/15/25,87,82,176,"15,312",Net 45,13,C
PO0917,PROD005,SUPP002,4/17/25,5/3/25,5/4/25,330,325,139,"45,870",Net 45,16,B
PO0918,PROD002,SUPP001,5/11/25,5/25/25,5/24/25,192,187,87,"16,704",Net 45,14,A
PO0919,PROD003,SUPP004,4/26/25,5/16/25,5/14/25,263,263,103,"27,089",Net 45,20,B
PO0920,PROD001,SUPP003,5/13/25,5/30/25,5/31/25,56,56,48,"2,688",Net 30,17,C
PO0921,PROD005,SUPP001,4/7/25,4/23/25,4/23/25,349,348,147,"51,303",Net 60,16,B
PO0922,PROD001,SUPP001,4/11/25,4/25/25,4/27/25,82,79,98,"8,036",Net 30,14,C
PO0923,PROD005,SUPP002,5/15/25,6/2/25,5/31/25,295,290,197,"58,115",Net 30,18,C
PO0924,PROD002,SUPP001,4/22/25,5/10/25,5/8/25,133,131,57,"7,581",Net 30,18,C
PO0925,PROD002,SUPP002,4/18/25,5/6/25,5/5/25,160,156,85,"13,600",Net 30,18,B
PO0926,PROD001,SUPP002,4/18/25,5/3/25,5/6/25,213,211,72,"15,336",Net 45,15,C
PO0927,PROD002,SUPP002,5/29/25,6/12/25,6/11/25,226,224,177,"40,002",Net 45,14,A
PO0928,PROD005,SUPP004,4/16/25,4/27/25,4/29/25,143,139,61,"8,723",Net 45,11,C
PO0929,PROD004,SUPP004,5/27/25,6/10/25,6/11/25,109,109,80,"8,720",Net 60,14,A
PO0930,PROD001,SUPP003,5/22/25,6/10/25,6/13/25,170,169,56,"9,520",Net 45,19,C
PO0931,PROD005,SUPP001,5/15/25,5/28/25,5/27/25,469,464,148,"69,412",Net 60,13,A
PO0932,PROD005,SUPP003,4/25/25,5/7/25,5/10/25,54,49,87,"4,698",Net 30,12,C
PO0933,PROD001,SUPP002,5/24/25,6/7/25,6/9/25,132,127,90,"11,880",Net 30,14,A
PO0934,PROD003,SUPP004,5/8/25,5/23/25,5/25/25,186,181,85,"15,810",Net 45,15,A
PO0935,PROD003,SUPP001,4/7/25,4/20/25,4/22/25,254,250,146,"37,084",Net 60,13,C
PO0936,PROD005,SUPP003,4/14/25,5/1/25,5/3/25,135,135,107,"14,445",Net 45,17,B
PO0937,PROD001,SUPP001,4/19/25,5/8/25,5/7/25,211,206,71,"14,981",Net 60,19,A
PO0938,PROD002,SUPP002,5/6/25,5/25/25,5/28/25,421,416,66,"27,786",Net 30,19,A
PO0939,PROD002,SUPP003,4/20/25,4/30/25,4/30/25,51,48,165,"8,415",Net 45,10,A
PO0940,PROD005,SUPP002,5/7/25,5/17/25,5/20/25,326,326,133,"43,358",Net 30,10,A
PO0941,PROD005,SUPP003,4/28/25,5/16/25,5/19/25,73,71,102,"7,446",Net 30,18,C
PO0942,PROD002,SUPP001,5/12/25,5/27/25,5/28/25,60,56,82,"4,920",Net 45,15,B
PO0943,PROD005,SUPP004,4/26/25,5/14/25,5/14/25,430,428,98,"42,140",Net 30,18,B
PO0944,PROD002,SUPP001,4/26/25,5/13/25,5/15/25,479,477,94,"45,026",Net 30,17,A
PO0945,PROD003,SUPP004,5/18/25,6/5/25,6/8/25,223,218,190,"42,370",Net 30,18,C
PO0946,PROD005,SUPP003,5/18/25,6/3/25,6/3/25,487,487,175,"85,225",Net 60,16,A
PO0947,PROD004,SUPP002,5/31/25,6/15/25,6/13/25,212,207,105,"22,260",Net 60,15,B
PO0948,PROD003,SUPP004,4/20/25,5/5/25,5/8/25,400,399,76,"30,400",Net 60,15,A
PO0949,PROD003,SUPP002,5/31/25,6/11/25,6/10/25,222,218,143,"31,746",Net 45,11,C
PO0950,PROD003,SUPP002,5/18/25,6/7/25,6/9/25,442,438,96,"42,432",Net 45,20,C
PO0951,PROD005,SUPP001,5/18/25,5/29/25,5/28/25,269,267,125,"33,625",Net 30,11,B
PO0952,PROD003,SUPP004,5/5/25,5/25/25,5/23/25,226,226,78,"17,628",Net 30,20,C
PO0953,PROD004,SUPP002,5/27/25,6/14/25,6/16/25,131,128,175,"22,925",Net 60,18,B
