Claim ID,Reserve Date,Initial Reserve Amount,Current Reserve Amount,Reserve Type
CLM1303,5/22/24,29847,20333,Indemnity Reserve
CLM1304,5/26/23,42913,11320,Indemnity Reserve
CLM1305,12/13/23,21681,13804,Indemnity Reserve
CLM1306,4/30/24,8846,1912,Indemnity Reserve
CLM1307,8/7/23,43987,25547,Indemnity Reserve
CLM1308,1/6/23,37653,34104,Indemnity Reserve
CLM1309,7/3/23,8183,4759,Indemnity Reserve
CLM1310,4/6/24,46874,40966,Indemnity Reserve
CLM1311,2/4/23,10830,9527,Indemnity Reserve
CLM1312,12/11/23,17202,7876,Indemnity Reserve
CLM1313,1/1/23,45707,10006,Indemnity Reserve
CLM1314,1/1/23,24678,21510,Indemnity Reserve
CLM1315,8/6/23,30612,29113,Indemnity Reserve
CLM1316,5/10/24,44776,11095,Indemnity Reserve
CLM1317,6/13/23,20689,11464,Indemnity Reserve
CLM1318,3/22/23,1805,842,Indemnity Reserve
CLM1319,3/18/23,8336,1870,Indemnity Reserve
CLM1320,6/20/23,38671,21034,Indemnity Reserve
CLM1321,8/13/23,1014,102,Indemnity Reserve
CLM1322,11/8/23,24940,20875,Indemnity Reserve
CLM1323,5/21/23,10231,10019,Indemnity Reserve
CLM1324,1/30/23,11349,6212,Indemnity Reserve
CLM1325,9/27/23,16721,7268,Indemnity Reserve
CLM1326,12/17/23,34101,17637,Indemnity Reserve
CLM1327,2/7/24,24203,16322,Indemnity Reserve
CLM1328,1/9/24,32229,27251,Indemnity Reserve
CLM1329,1/8/23,30706,11007,Indemnity Reserve
CLM1330,5/16/24,9569,6940,Indemnity Reserve
CLM1331,1/23/23,38159,12570,Indemnity Reserve
CLM1332,4/27/23,31147,19753,Indemnity Reserve
CLM1333,7/26/23,22738,21004,Indemnity Reserve
CLM1334,8/18/23,26397,17871,Indemnity Reserve
CLM1335,2/12/24,32866,10452,Indemnity Reserve
CLM1336,5/9/24,5794,4823,Indemnity Reserve
CLM1337,7/6/23,11120,8293,Indemnity Reserve
CLM1338,7/1/23,19198,5649,Indemnity Reserve
CLM1339,10/27/23,39336,34981,Indemnity Reserve
CLM1340,4/9/23,36445,35177,Indemnity Reserve
CLM1341,12/27/23,45076,26910,Indemnity Reserve
CLM1342,10/31/23,15736,7379,Indemnity Reserve
CLM1343,3/26/23,42396,17519,Indemnity Reserve
CLM1344,6/13/23,46964,13804,Indemnity Reserve
CLM1345,10/15/23,44899,39510,Indemnity Reserve
CLM1346,1/13/24,31223,10376,Indemnity Reserve
CLM1347,4/8/23,19889,9467,Indemnity Reserve
CLM1348,10/31/23,25922,19103,Indemnity Reserve
CLM1349,12/1/23,24908,23294,Indemnity Reserve
CLM1350,5/10/23,46532,21290,Indemnity Reserve
CLM1351,4/14/23,28098,23159,Indemnity Reserve
CLM1352,8/9/23,44820,39309,Indemnity Reserve
CLM1353,4/30/24,5688,5231,Indemnity Reserve
CLM1354,7/28/23,9429,3669,Indemnity Reserve
CLM1355,1/12/24,17510,9778,Indemnity Reserve
CLM1356,7/29/23,17446,239,Indemnity Reserve
CLM1357,5/13/24,43370,27033,Indemnity Reserve
CLM1358,10/16/23,32803,20563,Indemnity Reserve
CLM1359,10/25/23,41594,36371,Indemnity Reserve
CLM1360,7/27/23,24908,15437,Indemnity Reserve
CLM1361,8/12/23,12480,1636,Indemnity Reserve
CLM1362,5/11/23,40509,34876,Indemnity Reserve
CLM1363,11/26/23,11768,10671,Indemnity Reserve
CLM1364,12/6/23,45876,45037,Indemnity Reserve
CLM1365,2/17/24,14152,6239,Indemnity Reserve
CLM1366,5/19/24,16961,13147,Indemnity Reserve
CLM1367,1/25/24,37171,7184,Indemnity Reserve
CLM1368,8/8/23,15581,6021,Indemnity Reserve
CLM1369,1/28/24,9845,373,Indemnity Reserve
CLM1370,3/7/24,7346,4830,Indemnity Reserve
CLM1371,3/19/23,10035,2021,Indemnity Reserve
CLM1372,12/21/23,17722,8575,Indemnity Reserve
CLM1373,1/22/23,6979,466,Indemnity Reserve
CLM1374,11/15/23,15537,7277,Indemnity Reserve
CLM1375,6/13/23,24504,15334,Indemnity Reserve
CLM1376,11/26/23,14708,7220,Indemnity Reserve
CLM1377,5/9/24,49190,690,Indemnity Reserve
CLM1378,1/13/24,20955,3484,Indemnity Reserve
CLM1379,2/16/24,19219,11141,Indemnity Reserve
CLM1380,1/16/23,40807,8213,Indemnity Reserve
CLM1381,6/19/24,37630,79,Indemnity Reserve
CLM1382,3/6/23,14379,2068,Indemnity Reserve
CLM1383,5/7/23,41500,15110,Indemnity Reserve
CLM1384,1/24/23,34413,10641,Indemnity Reserve
CLM1385,5/5/24,30678,19893,Indemnity Reserve
CLM1386,2/18/24,31826,11677,Indemnity Reserve
CLM1387,2/23/24,44626,9396,Indemnity Reserve
CLM1388,2/24/24,47728,7633,Indemnity Reserve
CLM1389,10/19/23,13198,2310,Indemnity Reserve
CLM1390,5/22/23,29990,28649,Indemnity Reserve
CLM1391,10/4/23,8489,1406,Indemnity Reserve
CLM1392,5/26/24,37359,29030,Indemnity Reserve
CLM1393,9/13/23,48926,26984,Indemnity Reserve
CLM1394,6/12/23,26778,24439,Indemnity Reserve
CLM1395,4/9/24,2028,581,Indemnity Reserve
CLM1396,6/9/23,6068,5189,Indemnity Reserve
CLM1397,6/1/23,25813,23906,Indemnity Reserve
CLM1398,11/21/23,22768,16483,Indemnity Reserve
CLM1399,8/5/23,39064,38170,Indemnity Reserve
CLM1400,4/10/23,39646,8762,Indemnity Reserve
CLM1401,11/23/23,19051,247,Indemnity Reserve
CLM1402,10/8/23,7439,6110,Indemnity Reserve
CLM1403,5/13/23,15658,3238,Indemnity Reserve
CLM1404,8/21/23,5284,2136,Indemnity Reserve
CLM1405,12/16/23,40051,19578,Indemnity Reserve
CLM1406,9/26/23,43976,26832,Indemnity Reserve
CLM1407,12/13/23,46137,43497,Indemnity Reserve
CLM1408,6/18/23,1100,1088,Indemnity Reserve
CLM1409,6/16/24,25063,20991,Indemnity Reserve
CLM1410,9/7/23,22767,21088,Indemnity Reserve
CLM1411,4/26/24,19908,14863,Indemnity Reserve
CLM1412,4/21/24,4566,2132,Indemnity Reserve
CLM1413,3/25/24,21701,10568,Indemnity Reserve
CLM1414,7/25/23,48536,41410,Indemnity Reserve
CLM1415,2/12/23,45530,11383,Indemnity Reserve
CLM1416,1/8/24,23726,22070,Indemnity Reserve
CLM1417,11/7/23,3253,746,Indemnity Reserve
CLM1418,5/15/23,29116,18159,Indemnity Reserve
CLM1419,12/6/23,24627,21242,Indemnity Reserve
CLM1420,2/15/24,19107,8227,Indemnity Reserve
CLM1421,11/23/23,30289,3078,Indemnity Reserve
CLM1422,1/7/24,8906,8742,Indemnity Reserve
CLM1423,7/17/23,24396,16622,Indemnity Reserve
CLM1424,7/29/23,6911,1189,Indemnity Reserve
CLM1425,5/24/24,29903,4938,Indemnity Reserve
CLM1426,1/19/24,31351,30044,Indemnity Reserve
CLM1427,6/25/23,38847,28682,Indemnity Reserve
CLM1428,1/17/23,25508,24812,Indemnity Reserve
CLM1429,2/15/24,4896,1629,Indemnity Reserve
CLM1430,8/31/23,43184,40333,Indemnity Reserve
CLM1431,1/9/23,24489,16336,Indemnity Reserve
CLM1432,11/22/23,44856,12338,Indemnity Reserve
CLM1433,3/8/23,16551,706,Indemnity Reserve
CLM1434,1/13/23,2677,746,Indemnity Reserve
CLM1435,6/8/24,33375,9370,Indemnity Reserve
CLM1436,12/7/23,34099,30161,Indemnity Reserve
CLM1437,3/1/24,6893,254,Indemnity Reserve
CLM1438,7/8/23,21789,21072,Indemnity Reserve
CLM1439,4/28/23,4316,3457,Indemnity Reserve
CLM1440,5/4/24,36816,19179,Indemnity Reserve
CLM1441,5/14/24,21075,19695,Indemnity Reserve
CLM1442,6/27/24,15804,4571,Indemnity Reserve
CLM1443,4/14/24,13810,9691,Indemnity Reserve
CLM1444,9/9/23,46339,9788,Indemnity Reserve
CLM1445,1/13/23,46760,14497,Indemnity Reserve
CLM1446,4/20/24,41675,2180,Indemnity Reserve
CLM1447,9/18/23,28181,12513,Indemnity Reserve
CLM1448,8/30/23,7536,6909,Indemnity Reserve
CLM1449,11/1/23,20758,19890,Indemnity Reserve
CLM1450,12/11/23,23622,14335,Indemnity Reserve
CLM1451,4/12/24,23339,16111,Indemnity Reserve
CLM1452,5/7/24,3183,1831,Indemnity Reserve
CLM1453,5/7/24,40380,11940,Indemnity Reserve
CLM1454,11/24/23,30370,6226,Indemnity Reserve
CLM1455,10/25/23,38956,12205,Indemnity Reserve
CLM1456,12/11/23,34326,17933,Indemnity Reserve
CLM1457,4/19/24,44686,4717,Indemnity Reserve
CLM1458,4/15/24,38149,34343,Indemnity Reserve
CLM1459,3/24/23,43210,13226,Indemnity Reserve
CLM1460,1/27/24,39045,1738,Indemnity Reserve
CLM1461,2/26/24,16798,3908,Indemnity Reserve
CLM1462,6/5/23,19299,358,Indemnity Reserve
CLM1463,12/2/23,42116,42105,Indemnity Reserve
CLM1464,12/10/23,47943,30119,Indemnity Reserve
CLM1465,2/6/23,6125,5460,Indemnity Reserve
CLM1466,6/8/23,46291,16567,Indemnity Reserve
CLM1467,12/20/23,10298,9018,Indemnity Reserve
CLM1468,1/23/23,33275,23247,Indemnity Reserve
CLM1469,9/10/23,27947,557,Indemnity Reserve
CLM1470,7/31/23,25529,21623,Indemnity Reserve
CLM1471,11/16/23,17570,12449,Indemnity Reserve
CLM1472,5/12/23,22110,12344,Indemnity Reserve
CLM1473,4/4/23,28765,26877,Indemnity Reserve
CLM1474,5/10/24,16988,12689,Indemnity Reserve
CLM1475,4/25/24,2687,1633,Indemnity Reserve
CLM1476,2/28/23,9226,6029,Indemnity Reserve
CLM1477,5/22/23,33236,25992,Indemnity Reserve
CLM1478,4/30/23,29645,29347,Indemnity Reserve
CLM1479,6/17/23,22790,15107,Indemnity Reserve
CLM1480,6/13/24,16294,2323,Indemnity Reserve
CLM1481,2/2/23,10941,2760,Indemnity Reserve
CLM1482,1/31/23,48026,27657,Indemnity Reserve
CLM1483,4/15/24,23915,18687,Indemnity Reserve
CLM1484,5/15/23,48182,31059,Indemnity Reserve
CLM1485,12/24/23,42695,1226,Indemnity Reserve
CLM1486,2/5/24,10054,4733,Indemnity Reserve
CLM1487,6/26/24,15026,10999,Indemnity Reserve
CLM1488,10/28/23,3096,1814,Indemnity Reserve
CLM1489,6/22/23,47552,26021,Indemnity Reserve
CLM1490,6/26/24,33726,1709,Indemnity Reserve
CLM1491,2/19/24,29285,12899,Indemnity Reserve
CLM1492,4/12/23,6963,5345,Indemnity Reserve
CLM1493,9/14/23,1085,870,Indemnity Reserve
CLM1494,6/2/24,26032,11019,Indemnity Reserve
CLM1495,6/14/23,28601,14962,Indemnity Reserve
CLM1496,6/4/24,18449,2275,Indemnity Reserve
CLM1497,6/16/24,29224,27859,Indemnity Reserve
CLM1498,3/23/23,3426,307,Indemnity Reserve
CLM1499,1/22/23,19138,16671,Indemnity Reserve
CLM1500,2/18/24,6933,1006,Indemnity Reserve
CLM1501,8/13/23,38380,28183,Indemnity Reserve
CLM1502,11/8/23,16952,7713,Indemnity Reserve
CLM1503,7/2/23,7300,6528,Indemnity Reserve
CLM1504,6/15/24,36755,30562,Indemnity Reserve
CLM1505,2/28/23,27739,9670,Indemnity Reserve
CLM1506,5/16/23,31184,18922,Indemnity Reserve
CLM1507,3/30/24,43540,40516,Indemnity Reserve
CLM1508,7/31/23,21399,5669,Indemnity Reserve
CLM1509,2/2/23,28736,7793,Indemnity Reserve
CLM1510,2/20/24,45699,27792,Indemnity Reserve
CLM1511,11/5/23,32972,5910,Indemnity Reserve
CLM1512,12/30/23,10147,8147,Indemnity Reserve
CLM1513,6/26/23,25734,16292,Indemnity Reserve
CLM1514,5/30/23,26717,25700,Indemnity Reserve
CLM1515,3/18/24,45744,20313,Indemnity Reserve
CLM1516,5/3/23,20633,13964,Indemnity Reserve
CLM1517,4/13/23,21324,10236,Indemnity Reserve
CLM1518,4/18/23,3311,3036,Indemnity Reserve
CLM1519,2/22/24,11445,9660,Indemnity Reserve
CLM1520,12/28/23,14010,4611,Indemnity Reserve
CLM1521,1/24/23,10461,4623,Indemnity Reserve
CLM1522,1/3/23,43768,33014,Indemnity Reserve
CLM1523,4/21/23,24340,9511,Indemnity Reserve
CLM1524,3/1/24,23926,22512,Indemnity Reserve
CLM1525,1/14/24,27617,21856,Indemnity Reserve
CLM1526,2/19/24,36328,14997,Indemnity Reserve
CLM1527,3/16/23,27201,19081,Indemnity Reserve
CLM1528,1/22/23,13311,258,Indemnity Reserve
CLM1529,4/17/23,29186,27807,Indemnity Reserve
CLM1530,6/4/23,42722,17625,Indemnity Reserve
CLM1531,4/11/23,30589,14997,Indemnity Reserve
CLM1532,12/5/23,13320,10114,Indemnity Reserve
CLM1533,4/28/24,46196,41628,Indemnity Reserve
CLM1534,12/17/23,17465,1175,Indemnity Reserve
CLM1535,6/27/23,16615,14991,Indemnity Reserve
CLM1536,1/14/24,48988,42095,Indemnity Reserve
CLM1537,1/6/24,29010,26708,Indemnity Reserve
CLM1538,1/4/24,1750,1428,Indemnity Reserve
CLM1539,8/21/23,15158,3302,Indemnity Reserve
CLM1540,2/24/23,11438,8574,Indemnity Reserve
CLM1541,4/13/23,40848,33753,Indemnity Reserve
CLM1542,6/22/24,3689,2136,Indemnity Reserve
CLM1543,6/23/23,45762,5980,Indemnity Reserve
CLM1544,9/16/23,46043,45580,Indemnity Reserve
CLM1545,4/8/24,1266,746,Indemnity Reserve
CLM1546,7/19/23,35060,11194,Indemnity Reserve
CLM1547,5/25/24,4561,3729,Indemnity Reserve
CLM1548,2/8/23,19923,3893,Indemnity Reserve
CLM1549,5/1/24,23703,16084,Indemnity Reserve
CLM1550,4/23/24,6927,6064,Indemnity Reserve
CLM1551,3/2/23,15766,7188,Indemnity Reserve
CLM1552,6/12/23,35038,24846,Indemnity Reserve
CLM1553,3/18/24,42493,33217,Indemnity Reserve
CLM1554,6/20/24,19766,15368,Indemnity Reserve
CLM1555,5/12/24,5503,3147,Indemnity Reserve
CLM1556,7/12/23,26050,16178,Indemnity Reserve
CLM1557,6/24/24,29853,16281,Indemnity Reserve
CLM1558,2/13/23,1446,496,Indemnity Reserve
CLM1559,10/21/23,29974,5689,Indemnity Reserve
CLM1560,10/24/23,24981,612,Indemnity Reserve
CLM1561,1/28/23,28369,28085,Indemnity Reserve
CLM1562,1/23/23,9930,7954,Indemnity Reserve
CLM1563,11/28/23,28170,8735,Indemnity Reserve
CLM1564,11/23/23,11640,10686,Indemnity Reserve
CLM1565,1/2/24,28760,15147,Indemnity Reserve
CLM1566,6/5/24,3431,1914,Indemnity Reserve
CLM1567,1/16/24,26950,21973,Indemnity Reserve
CLM1568,11/2/23,21918,7888,Indemnity Reserve
CLM1569,6/23/24,44167,6870,Indemnity Reserve
CLM1570,1/14/23,20948,17179,Indemnity Reserve
CLM1571,5/6/24,48088,27739,Indemnity Reserve
CLM1572,7/15/23,37614,27245,Indemnity Reserve
CLM1573,5/4/23,46841,16079,Indemnity Reserve
CLM1574,7/8/23,24429,21429,Indemnity Reserve
CLM1575,5/5/23,38660,20573,Indemnity Reserve
CLM1576,3/6/23,13236,3761,Indemnity Reserve
CLM1577,4/29/24,37138,22160,Indemnity Reserve
CLM1578,6/12/23,45770,2029,Indemnity Reserve
CLM1579,7/19/23,33122,25290,Indemnity Reserve
CLM1580,2/21/23,29726,14986,Indemnity Reserve
CLM1581,12/25/23,34086,31333,Indemnity Reserve
CLM1582,2/16/24,33190,29970,Indemnity Reserve
CLM1583,7/23/23,8994,1856,Indemnity Reserve
CLM1584,3/21/24,44757,909,Indemnity Reserve
CLM1585,4/7/23,40856,11020,Indemnity Reserve
CLM1586,4/7/23,44064,20877,Indemnity Reserve
CLM1587,12/7/23,41344,26269,Indemnity Reserve
CLM1588,9/3/23,8940,2638,Indemnity Reserve
CLM1589,1/5/24,9067,4340,Indemnity Reserve
CLM1590,3/17/23,34702,6067,Indemnity Reserve
CLM1591,5/24/23,35424,11713,Indemnity Reserve
CLM1592,4/28/23,33755,12102,Indemnity Reserve
CLM1593,12/20/23,44751,37066,Indemnity Reserve
CLM1594,1/19/23,20922,17169,Indemnity Reserve
CLM1595,9/21/23,43546,28125,Indemnity Reserve
CLM1596,6/2/24,36904,12132,Indemnity Reserve
CLM1597,8/27/23,10768,4645,Indemnity Reserve
CLM1598,1/22/23,46622,36996,Indemnity Reserve
CLM1599,2/14/23,2887,768,Indemnity Reserve
CLM1600,6/18/23,38129,20921,Indemnity Reserve
CLM1601,2/7/23,33337,6674,Indemnity Reserve
CLM1602,5/19/24,3201,562,Indemnity Reserve
CLM1603,10/28/23,16455,13599,Indemnity Reserve
CLM1604,3/23/23,24334,22450,Indemnity Reserve
CLM1605,12/27/23,36258,7623,Indemnity Reserve
CLM1606,6/19/24,7287,1298,Indemnity Reserve
CLM1607,5/19/24,47010,34261,Indemnity Reserve
CLM1608,6/12/23,46277,29107,Indemnity Reserve
CLM1609,2/10/23,40768,39832,Indemnity Reserve
CLM1610,4/22/24,31599,5434,Indemnity Reserve
CLM1611,4/8/24,21879,7322,Indemnity Reserve
CLM1612,5/31/23,9629,1987,Indemnity Reserve
CLM1613,6/23/23,29698,20492,Indemnity Reserve
CLM1614,11/3/23,43719,19412,Indemnity Reserve
CLM1615,9/21/23,1357,637,Indemnity Reserve
CLM1616,4/12/24,35146,14045,Indemnity Reserve
CLM1617,1/3/24,22005,2799,Indemnity Reserve
CLM1618,6/12/24,41001,38807,Indemnity Reserve
CLM1619,12/5/23,29635,10245,Indemnity Reserve
CLM1620,7/18/23,11643,7441,Indemnity Reserve
CLM1621,5/3/24,46381,45112,Indemnity Reserve
CLM1622,6/13/23,48890,32471,Indemnity Reserve
CLM1623,6/16/23,36862,27601,Indemnity Reserve
CLM1624,8/31/23,15849,8599,Indemnity Reserve
CLM1625,5/16/23,28420,16444,Indemnity Reserve
CLM1626,2/9/23,45412,9599,Indemnity Reserve
CLM1627,5/2/24,24246,6108,Indemnity Reserve
CLM1628,2/7/23,21556,18098,Indemnity Reserve
CLM1629,1/20/23,27370,5742,Indemnity Reserve
CLM1630,5/23/24,9146,5137,Indemnity Reserve
CLM1631,7/16/23,21254,12852,Indemnity Reserve
CLM1632,7/8/23,33064,3102,Indemnity Reserve
CLM1633,10/11/23,11670,3545,Indemnity Reserve
CLM1634,8/27/23,18327,10127,Indemnity Reserve
CLM1635,11/25/23,7070,4418,Indemnity Reserve
CLM1636,6/26/24,19884,11481,Indemnity Reserve
CLM1637,4/6/23,33949,17272,Indemnity Reserve
CLM1638,12/31/23,40334,31014,Indemnity Reserve
CLM1639,11/1/23,23415,9825,Indemnity Reserve
CLM1640,12/9/23,31402,27807,Indemnity Reserve
CLM1641,10/13/23,23902,17590,Indemnity Reserve
CLM1642,9/27/23,33660,20410,Indemnity Reserve
CLM1643,1/1/24,19536,10874,Indemnity Reserve
CLM1644,1/17/23,33230,23085,Indemnity Reserve
CLM1645,4/5/24,24867,21837,Indemnity Reserve
CLM1646,5/10/24,31693,20340,Indemnity Reserve
CLM1647,3/29/23,2407,1852,Indemnity Reserve
CLM1648,1/10/24,38597,30187,Indemnity Reserve
CLM1649,9/17/23,21349,10069,Indemnity Reserve
CLM1650,9/21/23,14089,5361,Indemnity Reserve
CLM1651,1/8/23,48378,17800,Indemnity Reserve
CLM1652,6/10/23,18188,5224,Indemnity Reserve
CLM1653,4/4/24,48968,30497,Indemnity Reserve
CLM1654,5/27/24,18455,8534,Indemnity Reserve
CLM1655,9/28/23,29943,24236,Indemnity Reserve
CLM1656,12/24/23,39418,1787,Indemnity Reserve
CLM1657,8/28/23,37946,2420,Indemnity Reserve
CLM1658,1/22/23,30583,22759,Indemnity Reserve
CLM1659,7/3/23,21964,15511,Indemnity Reserve
CLM1660,2/6/23,46825,28300,Indemnity Reserve
CLM1661,6/24/24,29576,8450,Indemnity Reserve
CLM1662,6/17/24,41618,18128,Indemnity Reserve
CLM1663,3/9/24,5675,4402,Indemnity Reserve
CLM1664,1/4/24,46686,31717,Indemnity Reserve
CLM1665,10/26/23,31569,16366,Indemnity Reserve
CLM1666,6/11/23,10805,5396,Indemnity Reserve
CLM1667,1/2/23,41014,40272,Indemnity Reserve
CLM1668,1/26/24,42029,9571,Indemnity Reserve
CLM1669,5/1/23,26677,19389,Indemnity Reserve
CLM1670,1/20/24,12122,7682,Indemnity Reserve
CLM1671,6/27/24,29420,1545,Indemnity Reserve
CLM1672,12/16/23,13750,7516,Indemnity Reserve
CLM1673,11/27/23,15956,3560,Indemnity Reserve
CLM1674,5/12/23,24174,21081,Indemnity Reserve
CLM1675,11/6/23,6270,1256,Indemnity Reserve
CLM1676,8/27/23,35079,32786,Indemnity Reserve
CLM1677,3/3/24,17845,5320,Indemnity Reserve
CLM1678,5/21/24,26405,16308,Indemnity Reserve
CLM1679,1/4/23,10705,9667,Indemnity Reserve
CLM1680,12/27/23,24623,7490,Indemnity Reserve
CLM1681,4/13/24,44112,576,Indemnity Reserve
CLM1682,3/4/23,30147,2571,Indemnity Reserve
CLM1683,4/20/23,27619,3846,Indemnity Reserve
CLM1684,10/20/23,38157,6687,Indemnity Reserve
CLM1685,6/15/24,45592,35411,Indemnity Reserve
CLM1686,2/21/23,11138,4495,Indemnity Reserve
CLM1687,8/29/23,13763,12796,Indemnity Reserve
CLM1688,5/20/24,48970,23570,Indemnity Reserve
CLM1689,6/23/24,42129,30707,Indemnity Reserve
CLM1690,3/21/24,46438,34551,Indemnity Reserve
CLM1691,9/30/23,5637,3748,Indemnity Reserve
CLM1692,12/17/23,21148,11675,Indemnity Reserve
CLM1693,1/23/23,42480,14225,Indemnity Reserve
CLM1694,9/7/23,33744,25233,Indemnity Reserve
CLM1695,10/16/23,38143,17225,Indemnity Reserve
CLM1696,1/16/24,42906,26953,Indemnity Reserve
CLM1697,3/4/24,6724,2101,Indemnity Reserve
CLM1698,11/10/23,29150,23719,Indemnity Reserve
CLM1699,5/24/23,6652,2132,Indemnity Reserve
CLM1700,5/10/23,29290,13441,Indemnity Reserve
CLM1701,4/20/24,17597,1571,Indemnity Reserve
CLM1702,3/14/24,13397,968,Indemnity Reserve
CLM1703,5/6/24,19193,16913,Indemnity Reserve
CLM1704,3/25/23,47158,10334,Indemnity Reserve
CLM1705,7/19/23,19915,11263,Indemnity Reserve
CLM1706,1/15/23,22056,11033,Indemnity Reserve
CLM1707,1/27/23,21162,9981,Indemnity Reserve
CLM1708,6/27/24,49009,8573,Indemnity Reserve
CLM1709,4/6/23,23401,11267,Indemnity Reserve
CLM1710,4/6/23,48059,42905,Indemnity Reserve
CLM1711,9/15/23,6197,5700,Indemnity Reserve
CLM1712,12/14/23,37863,27425,Indemnity Reserve
CLM1713,2/18/24,11001,3174,Indemnity Reserve
CLM1714,7/9/23,48528,6404,Indemnity Reserve
CLM1715,2/19/23,4428,1594,Indemnity Reserve
CLM1716,6/8/23,1914,567,Indemnity Reserve
CLM1717,7/9/23,37808,8434,Indemnity Reserve
CLM1718,10/5/23,49152,44628,Indemnity Reserve
CLM1719,4/21/23,5689,1437,Indemnity Reserve
CLM1720,2/21/24,31927,26427,Indemnity Reserve
CLM1721,3/11/24,6500,6490,Indemnity Reserve
CLM1722,3/4/23,18737,11578,Indemnity Reserve
CLM1723,3/10/23,23158,13361,Indemnity Reserve
CLM1724,6/10/24,22120,22049,Indemnity Reserve
CLM1725,10/27/23,31314,22135,Indemnity Reserve
CLM1726,4/7/24,28928,7644,Indemnity Reserve
CLM1727,3/6/24,42507,14094,Indemnity Reserve
CLM1728,10/8/23,27663,25309,Indemnity Reserve
CLM1729,1/9/23,33754,13388,Indemnity Reserve
CLM1730,2/17/23,39639,16846,Indemnity Reserve
CLM1731,2/1/23,14631,1646,Indemnity Reserve
CLM1732,2/21/24,11443,5621,Indemnity Reserve
CLM1733,4/16/23,5382,2545,Indemnity Reserve
CLM1734,1/18/23,49076,4442,Indemnity Reserve
CLM1735,3/10/23,6012,5269,Indemnity Reserve
CLM1736,9/2/23,2259,211,Indemnity Reserve
CLM1737,1/3/23,45641,40767,Indemnity Reserve
CLM1738,1/12/24,4028,713,Indemnity Reserve
CLM1739,2/17/23,47920,32274,Indemnity Reserve
CLM1740,11/7/23,35795,26062,Indemnity Reserve
CLM1741,6/20/23,2490,1413,Indemnity Reserve
CLM1742,11/22/23,33535,86,Indemnity Reserve
CLM1743,11/26/23,36391,1315,Indemnity Reserve
CLM1744,5/17/23,2262,739,Indemnity Reserve
CLM1745,7/6/23,44572,16377,Indemnity Reserve
CLM1746,1/12/24,44969,22190,Indemnity Reserve
CLM1747,2/7/24,48443,3051,Indemnity Reserve
CLM1748,3/18/24,17540,8942,Indemnity Reserve
CLM1749,2/10/24,40470,34145,Indemnity Reserve
CLM1750,4/25/24,2353,1825,Indemnity Reserve
CLM1751,3/14/23,33383,9583,Indemnity Reserve
CLM1752,5/6/24,48861,43265,Indemnity Reserve
CLM1753,8/12/23,49300,28707,Indemnity Reserve
CLM1754,4/9/24,3442,859,Indemnity Reserve
CLM1755,9/11/23,12017,3590,Indemnity Reserve
CLM1756,11/28/23,35635,8989,Indemnity Reserve
CLM1757,9/5/23,13112,4973,Indemnity Reserve
CLM1758,8/30/23,13358,5441,Indemnity Reserve
CLM1759,12/13/23,24821,1056,Indemnity Reserve
CLM1760,2/14/24,19547,3962,Indemnity Reserve
CLM1761,8/21/23,11555,3247,Indemnity Reserve
CLM1762,6/20/24,24394,16533,Indemnity Reserve
CLM1763,6/1/24,19724,5617,Indemnity Reserve
CLM1764,4/22/24,25348,8314,Indemnity Reserve
CLM1765,5/7/23,27289,21315,Indemnity Reserve
CLM1766,1/5/24,42298,9658,Indemnity Reserve
CLM1767,2/14/24,17652,17228,Indemnity Reserve
CLM1768,3/8/23,37550,5200,Indemnity Reserve
CLM1769,8/18/23,39435,13051,Indemnity Reserve
CLM1770,4/24/24,26110,20968,Indemnity Reserve
CLM1771,11/28/23,3521,1568,Indemnity Reserve
CLM1772,4/7/23,1056,357,Indemnity Reserve
CLM1773,3/12/23,2903,2672,Indemnity Reserve
CLM1774,10/16/23,17391,6906,Indemnity Reserve
CLM1775,11/11/23,2776,669,Indemnity Reserve
CLM1776,2/10/24,6237,4613,Indemnity Reserve
CLM1777,1/8/24,2134,1544,Indemnity Reserve
CLM1778,5/16/24,6132,514,Indemnity Reserve
CLM1779,4/13/23,21993,21801,Indemnity Reserve
CLM1780,9/10/23,30901,10602,Indemnity Reserve
CLM1781,9/19/23,12583,19,Indemnity Reserve
CLM1782,11/25/23,11120,8026,Indemnity Reserve
CLM1783,2/26/24,21800,5959,Indemnity Reserve
CLM1784,10/11/23,17711,10077,Indemnity Reserve
CLM1785,2/15/24,15158,3767,Indemnity Reserve
CLM1786,11/10/23,8237,5963,Indemnity Reserve
CLM1787,2/18/24,43998,29717,Indemnity Reserve
CLM1788,3/9/24,8342,6022,Indemnity Reserve
CLM1789,5/11/24,1311,1301,Indemnity Reserve
CLM1790,2/26/24,38062,24009,Indemnity Reserve
CLM1791,3/20/24,22979,20218,Indemnity Reserve
CLM1792,5/17/23,45171,2545,Indemnity Reserve
CLM1793,1/14/24,22633,13441,Indemnity Reserve
CLM1794,5/19/24,2122,998,Indemnity Reserve
CLM1795,1/13/24,37725,28927,Indemnity Reserve
CLM1796,3/6/23,3912,3217,Indemnity Reserve
CLM1797,5/1/23,40671,27929,Indemnity Reserve
CLM1798,9/8/23,49271,45424,Indemnity Reserve
CLM1799,11/7/23,7073,1505,Indemnity Reserve
CLM1800,5/6/24,23633,18288,Indemnity Reserve
CLM1801,5/1/24,15707,6152,Indemnity Reserve
