Insured/Policyholder ID,Demographics,Location,Customer Segment,Years as Customer,Number of Policies Held,Previous Claims History
INS55511,"60, Male, Single","Augusta, GA, 30901",Commercial,6,2,"1 prior claim, $2000 total paid"
INS55512,"45, Male, Married","Atlanta, GA, 30303",High Value,10,4,"3 prior claims, $20000 total paid"
INS55513,"55, Female, Single","Athens, GA, 30601",Small Business,14,2,"1 prior claim, $2000 total paid"
INS55514,"35, Male, Single","Atlanta, GA, 30303",High Value,8,3,"1 prior claim, $2000 total paid"
INS55515,"60, Male, Single","Augusta, GA, 30901",Small Business,4,2,0 prior claims
INS55516,"28, Female, Single","Atlanta, GA, 30303",Small Business,19,3,"1 prior claim, $5000 total paid"
INS55517,"30, Female, Married","Columbus, GA, 31901",High Value,14,3,0 prior claims
INS55518,"55, Female, Single","Columbus, GA, 31901",Small Business,2,3,"1 prior claim, $5000 total paid"
INS55519,"55, Female, Single","Savannah, GA, 31401",Small Business,2,2,"1 prior claim, $2000 total paid"
INS55520,"55, Female, Single","Columbus, GA, 31901",High Value,11,4,0 prior claims
INS55521,"40, Male, Married","Macon, GA, 31201",Standard,4,4,"2 prior claims, $15000 total paid"
INS55522,"30, Female, Married","Albany, GA, 31701",Standard,1,4,"3 prior claims, $20000 total paid"
INS55523,"30, Female, Married","Macon, GA, 31201",Small Business,14,3,"1 prior claim, $2000 total paid"
INS55524,"40, Male, Married","Albany, GA, 31701",Commercial,7,3,"2 prior claims, $15000 total paid"
INS55525,"45, Male, Married","Atlanta, GA, 30303",Standard,5,2,"3 prior claims, $20000 total paid"
INS55526,"55, Female, Single","Athens, GA, 30601",Standard,3,4,"2 prior claims, $15000 total paid"
INS55527,"35, Male, Single","Savannah, GA, 31401",Small Business,1,1,0 prior claims
INS55528,"28, Female, Single","Atlanta, GA, 30303",Small Business,10,2,"1 prior claim, $2000 total paid"
INS55529,"60, Male, Single","Columbus, GA, 31901",Commercial,19,3,"3 prior claims, $20000 total paid"
INS55530,"45, Male, Married","Albany, GA, 31701",High Value,17,2,"3 prior claims, $20000 total paid"
INS55531,"60, Male, Single","Macon, GA, 31201",Commercial,19,1,0 prior claims
INS55532,"50, Female, Married","Columbus, GA, 31901",Small Business,13,3,"1 prior claim, $2000 total paid"
INS55533,"40, Male, Married","Macon, GA, 31201",High Value,6,2,"3 prior claims, $20000 total paid"
INS55534,"50, Female, Married","Albany, GA, 31701",High Value,12,1,0 prior claims
INS55535,"30, Female, Married","Athens, GA, 30601",Commercial,6,4,"3 prior claims, $20000 total paid"
INS55536,"28, Female, Single","Augusta, GA, 30901",Small Business,3,2,"3 prior claims, $20000 total paid"
INS55537,"40, Male, Married","Atlanta, GA, 30303",Commercial,18,3,"3 prior claims, $20000 total paid"
INS55538,"60, Male, Single","Roswell, GA, 30075",Standard,10,1,"1 prior claim, $2000 total paid"
INS55539,"55, Female, Single","Roswell, GA, 30075",High Value,12,2,"3 prior claims, $20000 total paid"
INS55540,"45, Male, Married","Augusta, GA, 30901",Commercial,8,1,"1 prior claim, $2000 total paid"
INS55541,"55, Female, Single","Athens, GA, 30601",Small Business,14,4,0 prior claims
INS55542,"60, Male, Single","Roswell, GA, 30075",High Value,19,2,"1 prior claim, $2000 total paid"
INS55543,"60, Male, Single","Macon, GA, 31201",Small Business,15,1,"3 prior claims, $20000 total paid"
INS55544,"28, Female, Single","Macon, GA, 31201",Small Business,15,3,"2 prior claims, $15000 total paid"
INS55545,"55, Female, Single","Athens, GA, 30601",Standard,8,4,"1 prior claim, $5000 total paid"
INS55546,"55, Female, Single","Atlanta, GA, 30303",High Value,12,1,0 prior claims
INS55547,"35, Male, Single","Augusta, GA, 30901",Standard,3,1,"1 prior claim, $5000 total paid"
INS55548,"28, Female, Single","Athens, GA, 30601",Commercial,7,1,"1 prior claim, $5000 total paid"
INS55549,"55, Female, Single","Athens, GA, 30601",High Value,8,1,"3 prior claims, $20000 total paid"
INS55550,"35, Male, Single","Savannah, GA, 31401",High Value,5,4,"2 prior claims, $15000 total paid"
INS55551,"40, Male, Married","Savannah, GA, 31401",High Value,13,1,"2 prior claims, $15000 total paid"
INS55552,"35, Male, Single","Albany, GA, 31701",Small Business,2,1,"2 prior claims, $15000 total paid"
INS55553,"45, Male, Married","Augusta, GA, 30901",Small Business,17,1,"1 prior claim, $2000 total paid"
INS55554,"30, Female, Married","Columbus, GA, 31901",Standard,2,2,"1 prior claim, $5000 total paid"
INS55555,"40, Male, Married","Savannah, GA, 31401",Small Business,12,3,0 prior claims
INS55556,"60, Male, Single","Athens, GA, 30601",Commercial,20,1,"1 prior claim, $5000 total paid"
INS55557,"28, Female, Single","Augusta, GA, 30901",Small Business,10,4,"1 prior claim, $5000 total paid"
INS55558,"28, Female, Single","Savannah, GA, 31401",Small Business,8,2,"3 prior claims, $20000 total paid"
INS55559,"45, Male, Married","Roswell, GA, 30075",High Value,15,2,0 prior claims
INS55560,"40, Male, Married","Columbus, GA, 31901",Commercial,5,1,"2 prior claims, $15000 total paid"
INS55561,"55, Female, Single","Augusta, GA, 30901",High Value,13,4,0 prior claims
INS55562,"35, Male, Single","Savannah, GA, 31401",High Value,4,1,"2 prior claims, $15000 total paid"
INS55563,"55, Female, Single","Albany, GA, 31701",High Value,12,1,"3 prior claims, $20000 total paid"
INS55564,"40, Male, Married","Albany, GA, 31701",High Value,14,4,0 prior claims
INS55565,"45, Male, Married","Atlanta, GA, 30303",High Value,20,1,"2 prior claims, $15000 total paid"
INS55566,"50, Female, Married","Savannah, GA, 31401",Small Business,10,1,0 prior claims
INS55567,"60, Male, Single","Macon, GA, 31201",Small Business,2,4,"1 prior claim, $5000 total paid"
INS55568,"40, Male, Married","Savannah, GA, 31401",Standard,8,3,"3 prior claims, $20000 total paid"
INS55569,"35, Male, Single","Albany, GA, 31701",High Value,1,3,"3 prior claims, $20000 total paid"
INS55570,"60, Male, Single","Macon, GA, 31201",Small Business,19,4,"1 prior claim, $5000 total paid"
INS55571,"28, Female, Single","Savannah, GA, 31401",Commercial,3,3,"3 prior claims, $20000 total paid"
INS55572,"55, Female, Single","Albany, GA, 31701",Small Business,4,2,0 prior claims
INS55573,"28, Female, Single","Albany, GA, 31701",Commercial,14,4,"3 prior claims, $20000 total paid"
INS55574,"60, Male, Single","Roswell, GA, 30075",Standard,5,2,"2 prior claims, $15000 total paid"
INS55575,"55, Female, Single","Athens, GA, 30601",Standard,13,3,0 prior claims
INS55576,"45, Male, Married","Columbus, GA, 31901",Commercial,1,2,0 prior claims
INS55577,"50, Female, Married","Roswell, GA, 30075",Small Business,11,2,0 prior claims
INS55578,"40, Male, Married","Savannah, GA, 31401",High Value,2,4,"2 prior claims, $15000 total paid"
INS55579,"35, Male, Single","Atlanta, GA, 30303",Standard,14,3,"1 prior claim, $2000 total paid"
INS55580,"60, Male, Single","Athens, GA, 30601",Standard,20,2,"1 prior claim, $5000 total paid"
INS55581,"60, Male, Single","Athens, GA, 30601",Small Business,11,4,"2 prior claims, $15000 total paid"
INS55582,"28, Female, Single","Macon, GA, 31201",Commercial,3,4,"1 prior claim, $2000 total paid"
INS55583,"45, Male, Married","Athens, GA, 30601",Small Business,10,4,"1 prior claim, $2000 total paid"
INS55584,"55, Female, Single","Athens, GA, 30601",Standard,11,1,"1 prior claim, $2000 total paid"
INS55585,"55, Female, Single","Athens, GA, 30601",Commercial,12,3,0 prior claims
INS55586,"28, Female, Single","Atlanta, GA, 30303",Commercial,1,4,"3 prior claims, $20000 total paid"
INS55587,"28, Female, Single","Savannah, GA, 31401",High Value,10,4,"1 prior claim, $5000 total paid"
INS55588,"60, Male, Single","Augusta, GA, 30901",Small Business,19,3,"1 prior claim, $2000 total paid"
INS55589,"45, Male, Married","Atlanta, GA, 30303",Commercial,19,1,"3 prior claims, $20000 total paid"
INS55590,"45, Male, Married","Savannah, GA, 31401",High Value,13,1,"1 prior claim, $2000 total paid"
INS55591,"45, Male, Married","Columbus, GA, 31901",Small Business,5,1,0 prior claims
INS55592,"30, Female, Married","Albany, GA, 31701",Commercial,8,2,"1 prior claim, $2000 total paid"
INS55593,"55, Female, Single","Savannah, GA, 31401",High Value,3,2,0 prior claims
INS55594,"50, Female, Married","Albany, GA, 31701",Small Business,10,1,"3 prior claims, $20000 total paid"
INS55595,"35, Male, Single","Augusta, GA, 30901",High Value,16,4,"3 prior claims, $20000 total paid"
INS55596,"50, Female, Married","Athens, GA, 30601",Commercial,8,3,"3 prior claims, $20000 total paid"
INS55597,"40, Male, Married","Atlanta, GA, 30303",Small Business,17,2,"2 prior claims, $15000 total paid"
INS55598,"55, Female, Single","Atlanta, GA, 30303",High Value,17,3,"1 prior claim, $2000 total paid"
INS55599,"60, Male, Single","Roswell, GA, 30075",Small Business,20,3,"1 prior claim, $5000 total paid"
INS55600,"55, Female, Single","Augusta, GA, 30901",High Value,5,1,"1 prior claim, $5000 total paid"
INS55601,"30, Female, Married","Atlanta, GA, 30303",Small Business,8,3,"3 prior claims, $20000 total paid"
INS55602,"40, Male, Married","Albany, GA, 31701",Standard,8,2,0 prior claims
INS55603,"60, Male, Single","Athens, GA, 30601",Standard,8,2,"1 prior claim, $5000 total paid"
INS55604,"45, Male, Married","Columbus, GA, 31901",Small Business,16,3,0 prior claims
INS55605,"30, Female, Married","Athens, GA, 30601",High Value,4,3,0 prior claims
INS55606,"40, Male, Married","Macon, GA, 31201",High Value,2,3,"3 prior claims, $20000 total paid"
INS55607,"55, Female, Single","Savannah, GA, 31401",Commercial,1,4,0 prior claims
INS55608,"50, Female, Married","Roswell, GA, 30075",Small Business,8,1,0 prior claims
INS55609,"45, Male, Married","Athens, GA, 30601",Small Business,2,3,0 prior claims
INS55610,"28, Female, Single","Savannah, GA, 31401",Small Business,12,4,"3 prior claims, $20000 total paid"
INS55611,"30, Female, Married","Augusta, GA, 30901",High Value,10,1,"1 prior claim, $5000 total paid"
INS55612,"28, Female, Single","Macon, GA, 31201",High Value,13,2,"1 prior claim, $5000 total paid"
INS55613,"30, Female, Married","Columbus, GA, 31901",High Value,5,3,"1 prior claim, $5000 total paid"
INS55614,"45, Male, Married","Albany, GA, 31701",Small Business,14,2,"1 prior claim, $2000 total paid"
INS55615,"40, Male, Married","Roswell, GA, 30075",Small Business,17,3,"1 prior claim, $5000 total paid"
INS55616,"50, Female, Married","Atlanta, GA, 30303",Commercial,15,1,0 prior claims
INS55617,"45, Male, Married","Roswell, GA, 30075",Standard,17,4,0 prior claims
INS55618,"55, Female, Single","Albany, GA, 31701",High Value,17,2,0 prior claims
INS55619,"35, Male, Single","Roswell, GA, 30075",Standard,7,1,"1 prior claim, $2000 total paid"
INS55620,"50, Female, Married","Augusta, GA, 30901",High Value,2,4,"3 prior claims, $20000 total paid"
INS55621,"28, Female, Single","Atlanta, GA, 30303",High Value,5,3,0 prior claims
INS55622,"40, Male, Married","Roswell, GA, 30075",Small Business,18,2,0 prior claims
INS55623,"40, Male, Married","Macon, GA, 31201",High Value,13,2,"1 prior claim, $2000 total paid"
INS55624,"50, Female, Married","Athens, GA, 30601",High Value,5,1,"1 prior claim, $2000 total paid"
INS55625,"55, Female, Single","Albany, GA, 31701",Standard,2,1,0 prior claims
INS55626,"60, Male, Single","Columbus, GA, 31901",Standard,2,4,0 prior claims
INS55627,"50, Female, Married","Macon, GA, 31201",Standard,1,2,0 prior claims
INS55628,"55, Female, Single","Albany, GA, 31701",High Value,20,4,"1 prior claim, $5000 total paid"
INS55629,"30, Female, Married","Albany, GA, 31701",High Value,14,1,0 prior claims
INS55630,"45, Male, Married","Albany, GA, 31701",Small Business,1,4,"1 prior claim, $5000 total paid"
INS55631,"50, Female, Married","Albany, GA, 31701",High Value,14,4,"3 prior claims, $20000 total paid"
INS55632,"55, Female, Single","Columbus, GA, 31901",Small Business,1,3,"2 prior claims, $15000 total paid"
INS55633,"28, Female, Single","Roswell, GA, 30075",Standard,14,4,"1 prior claim, $5000 total paid"
INS55634,"45, Male, Married","Macon, GA, 31201",High Value,18,3,0 prior claims
INS55635,"30, Female, Married","Columbus, GA, 31901",High Value,14,2,"3 prior claims, $20000 total paid"
INS55636,"45, Male, Married","Columbus, GA, 31901",High Value,1,3,"1 prior claim, $5000 total paid"
INS55637,"35, Male, Single","Athens, GA, 30601",Small Business,12,4,0 prior claims
INS55638,"50, Female, Married","Atlanta, GA, 30303",Commercial,17,1,"2 prior claims, $15000 total paid"
INS55639,"28, Female, Single","Macon, GA, 31201",Standard,10,2,0 prior claims
INS55640,"60, Male, Single","Athens, GA, 30601",Small Business,16,2,"1 prior claim, $5000 total paid"
INS55641,"40, Male, Married","Savannah, GA, 31401",Commercial,3,1,"2 prior claims, $15000 total paid"
INS55642,"45, Male, Married","Athens, GA, 30601",Small Business,17,3,"1 prior claim, $5000 total paid"
INS55643,"45, Male, Married","Atlanta, GA, 30303",Standard,1,3,"1 prior claim, $5000 total paid"
INS55644,"45, Male, Married","Savannah, GA, 31401",High Value,4,1,0 prior claims
INS55645,"55, Female, Single","Albany, GA, 31701",Commercial,4,4,"3 prior claims, $20000 total paid"
INS55646,"60, Male, Single","Atlanta, GA, 30303",Standard,11,1,"3 prior claims, $20000 total paid"
INS55647,"35, Male, Single","Columbus, GA, 31901",High Value,13,3,0 prior claims
INS55648,"60, Male, Single","Athens, GA, 30601",Small Business,11,3,0 prior claims
INS55649,"40, Male, Married","Augusta, GA, 30901",Commercial,11,3,"1 prior claim, $2000 total paid"
INS55650,"28, Female, Single","Atlanta, GA, 30303",Standard,10,4,"2 prior claims, $15000 total paid"
INS55651,"28, Female, Single","Macon, GA, 31201",Commercial,14,4,"1 prior claim, $5000 total paid"
INS55652,"28, Female, Single","Atlanta, GA, 30303",Small Business,16,1,"1 prior claim, $2000 total paid"
INS55653,"55, Female, Single","Augusta, GA, 30901",Small Business,7,1,"2 prior claims, $15000 total paid"
INS55654,"45, Male, Married","Athens, GA, 30601",Small Business,8,1,"3 prior claims, $20000 total paid"
INS55655,"45, Male, Married","Savannah, GA, 31401",Small Business,17,4,"3 prior claims, $20000 total paid"
INS55656,"60, Male, Single","Augusta, GA, 30901",High Value,17,3,"3 prior claims, $20000 total paid"
INS55657,"50, Female, Married","Augusta, GA, 30901",Commercial,17,4,0 prior claims
INS55658,"35, Male, Single","Savannah, GA, 31401",Standard,5,3,"3 prior claims, $20000 total paid"
INS55659,"50, Female, Married","Athens, GA, 30601",Small Business,17,4,"1 prior claim, $2000 total paid"
INS55660,"40, Male, Married","Roswell, GA, 30075",Small Business,18,2,"1 prior claim, $5000 total paid"
INS55661,"28, Female, Single","Macon, GA, 31201",Commercial,5,2,"2 prior claims, $15000 total paid"
INS55662,"45, Male, Married","Savannah, GA, 31401",High Value,9,2,"1 prior claim, $5000 total paid"
INS55663,"50, Female, Married","Columbus, GA, 31901",Small Business,10,1,0 prior claims
INS55664,"55, Female, Single","Roswell, GA, 30075",Small Business,15,1,0 prior claims
INS55665,"50, Female, Married","Augusta, GA, 30901",Standard,18,2,"2 prior claims, $15000 total paid"
INS55666,"35, Male, Single","Augusta, GA, 30901",High Value,19,4,"1 prior claim, $5000 total paid"
INS55667,"35, Male, Single","Roswell, GA, 30075",Small Business,12,1,0 prior claims
INS55668,"60, Male, Single","Augusta, GA, 30901",High Value,11,1,"1 prior claim, $5000 total paid"
INS55669,"40, Male, Married","Atlanta, GA, 30303",Standard,8,1,0 prior claims
INS55670,"30, Female, Married","Columbus, GA, 31901",High Value,5,3,0 prior claims
INS55671,"55, Female, Single","Atlanta, GA, 30303",Small Business,5,2,"2 prior claims, $15000 total paid"
INS55672,"28, Female, Single","Atlanta, GA, 30303",Commercial,5,1,"1 prior claim, $5000 total paid"
INS55673,"50, Female, Married","Augusta, GA, 30901",Standard,4,4,"1 prior claim, $5000 total paid"
INS55674,"55, Female, Single","Albany, GA, 31701",Commercial,16,4,"1 prior claim, $2000 total paid"
INS55675,"55, Female, Single","Albany, GA, 31701",Commercial,1,1,"3 prior claims, $20000 total paid"
INS55676,"45, Male, Married","Savannah, GA, 31401",Commercial,16,4,"2 prior claims, $15000 total paid"
INS55677,"30, Female, Married","Augusta, GA, 30901",Commercial,18,2,0 prior claims
INS55678,"30, Female, Married","Roswell, GA, 30075",Standard,3,2,"3 prior claims, $20000 total paid"
INS55679,"45, Male, Married","Augusta, GA, 30901",High Value,12,1,"3 prior claims, $20000 total paid"
INS55680,"30, Female, Married","Columbus, GA, 31901",Small Business,5,1,"1 prior claim, $2000 total paid"
INS55681,"40, Male, Married","Savannah, GA, 31401",Commercial,17,4,"3 prior claims, $20000 total paid"
INS55682,"60, Male, Single","Atlanta, GA, 30303",High Value,14,2,"3 prior claims, $20000 total paid"
INS55683,"60, Male, Single","Roswell, GA, 30075",Commercial,17,3,"1 prior claim, $2000 total paid"
INS55684,"45, Male, Married","Augusta, GA, 30901",Standard,10,2,"1 prior claim, $5000 total paid"
INS55685,"55, Female, Single","Savannah, GA, 31401",Standard,20,4,"3 prior claims, $20000 total paid"
INS55686,"55, Female, Single","Roswell, GA, 30075",High Value,5,2,"1 prior claim, $2000 total paid"
INS55687,"60, Male, Single","Albany, GA, 31701",Commercial,19,2,"1 prior claim, $2000 total paid"
INS55688,"45, Male, Married","Atlanta, GA, 30303",Commercial,14,1,"1 prior claim, $2000 total paid"
INS55689,"40, Male, Married","Savannah, GA, 31401",Standard,2,1,0 prior claims
INS55690,"55, Female, Single","Macon, GA, 31201",High Value,4,2,"2 prior claims, $15000 total paid"
INS55691,"45, Male, Married","Roswell, GA, 30075",High Value,9,4,"2 prior claims, $15000 total paid"
INS55692,"60, Male, Single","Columbus, GA, 31901",Small Business,12,4,"1 prior claim, $2000 total paid"
INS55693,"60, Male, Single","Columbus, GA, 31901",Standard,2,2,0 prior claims
INS55694,"55, Female, Single","Savannah, GA, 31401",Standard,9,4,"2 prior claims, $15000 total paid"
INS55695,"55, Female, Single","Augusta, GA, 30901",Commercial,5,4,"2 prior claims, $15000 total paid"
INS55696,"28, Female, Single","Savannah, GA, 31401",Small Business,5,2,0 prior claims
INS55697,"28, Female, Single","Savannah, GA, 31401",Commercial,9,1,0 prior claims
INS55698,"35, Male, Single","Savannah, GA, 31401",Standard,20,2,"1 prior claim, $5000 total paid"
INS55699,"40, Male, Married","Athens, GA, 30601",Standard,6,4,"3 prior claims, $20000 total paid"
INS55700,"30, Female, Married","Savannah, GA, 31401",High Value,9,3,"2 prior claims, $15000 total paid"
INS55701,"40, Male, Married","Roswell, GA, 30075",Small Business,19,3,"2 prior claims, $15000 total paid"
INS55702,"55, Female, Single","Savannah, GA, 31401",High Value,6,1,"1 prior claim, $5000 total paid"
INS55703,"30, Female, Married","Albany, GA, 31701",Commercial,2,1,"1 prior claim, $2000 total paid"
INS55704,"40, Male, Married","Atlanta, GA, 30303",Standard,3,3,"3 prior claims, $20000 total paid"
INS55705,"30, Female, Married","Macon, GA, 31201",High Value,2,2,"1 prior claim, $2000 total paid"
INS55706,"30, Female, Married","Macon, GA, 31201",High Value,9,3,0 prior claims
INS55707,"35, Male, Single","Columbus, GA, 31901",High Value,6,2,"3 prior claims, $20000 total paid"
INS55708,"28, Female, Single","Atlanta, GA, 30303",Standard,11,4,0 prior claims
INS55709,"45, Male, Married","Augusta, GA, 30901",Commercial,12,3,"3 prior claims, $20000 total paid"
INS55710,"45, Male, Married","Athens, GA, 30601",Small Business,6,2,0 prior claims
INS55711,"30, Female, Married","Athens, GA, 30601",High Value,19,3,"1 prior claim, $2000 total paid"
INS55712,"45, Male, Married","Atlanta, GA, 30303",Commercial,15,2,"1 prior claim, $2000 total paid"
INS55713,"35, Male, Single","Columbus, GA, 31901",High Value,17,3,0 prior claims
INS55714,"45, Male, Married","Albany, GA, 31701",Standard,8,2,"2 prior claims, $15000 total paid"
INS55715,"28, Female, Single","Macon, GA, 31201",Small Business,20,2,0 prior claims
INS55716,"60, Male, Single","Atlanta, GA, 30303",Commercial,17,4,"2 prior claims, $15000 total paid"
INS55717,"45, Male, Married","Albany, GA, 31701",High Value,9,4,0 prior claims
INS55718,"40, Male, Married","Savannah, GA, 31401",High Value,6,4,"1 prior claim, $2000 total paid"
INS55719,"55, Female, Single","Roswell, GA, 30075",High Value,13,2,"1 prior claim, $5000 total paid"
INS55720,"28, Female, Single","Macon, GA, 31201",Small Business,5,2,0 prior claims
INS55721,"50, Female, Married","Roswell, GA, 30075",High Value,19,1,"1 prior claim, $2000 total paid"
INS55722,"55, Female, Single","Savannah, GA, 31401",Small Business,12,1,"3 prior claims, $20000 total paid"
INS55723,"28, Female, Single","Atlanta, GA, 30303",Standard,18,4,"2 prior claims, $15000 total paid"
INS55724,"45, Male, Married","Atlanta, GA, 30303",High Value,9,4,"1 prior claim, $5000 total paid"
INS55725,"28, Female, Single","Athens, GA, 30601",High Value,17,4,"2 prior claims, $15000 total paid"
INS55726,"35, Male, Single","Columbus, GA, 31901",Standard,2,4,0 prior claims
INS55727,"35, Male, Single","Augusta, GA, 30901",Standard,16,4,"3 prior claims, $20000 total paid"
INS55728,"40, Male, Married","Albany, GA, 31701",High Value,3,4,"3 prior claims, $20000 total paid"
INS55729,"55, Female, Single","Albany, GA, 31701",Commercial,20,3,"2 prior claims, $15000 total paid"
INS55730,"45, Male, Married","Roswell, GA, 30075",High Value,5,3,0 prior claims
INS55731,"50, Female, Married","Savannah, GA, 31401",Small Business,9,4,"1 prior claim, $5000 total paid"
INS55732,"55, Female, Single","Columbus, GA, 31901",Commercial,16,3,"1 prior claim, $2000 total paid"
INS55733,"60, Male, Single","Athens, GA, 30601",Small Business,7,3,"1 prior claim, $5000 total paid"
INS55734,"60, Male, Single","Macon, GA, 31201",Small Business,17,1,"1 prior claim, $2000 total paid"
INS55735,"55, Female, Single","Albany, GA, 31701",Commercial,5,3,"1 prior claim, $2000 total paid"
INS55736,"28, Female, Single","Albany, GA, 31701",Standard,19,2,"1 prior claim, $5000 total paid"
INS55737,"45, Male, Married","Columbus, GA, 31901",High Value,8,4,"3 prior claims, $20000 total paid"
INS55738,"35, Male, Single","Albany, GA, 31701",Commercial,13,4,"2 prior claims, $15000 total paid"
INS55739,"28, Female, Single","Roswell, GA, 30075",Standard,2,4,"3 prior claims, $20000 total paid"
INS55740,"50, Female, Married","Albany, GA, 31701",Small Business,5,3,"1 prior claim, $2000 total paid"
INS55741,"50, Female, Married","Atlanta, GA, 30303",Commercial,1,3,0 prior claims
INS55742,"40, Male, Married","Savannah, GA, 31401",Commercial,2,2,0 prior claims
INS55743,"45, Male, Married","Savannah, GA, 31401",High Value,20,4,"2 prior claims, $15000 total paid"
INS55744,"50, Female, Married","Albany, GA, 31701",Standard,9,3,"2 prior claims, $15000 total paid"
INS55745,"40, Male, Married","Roswell, GA, 30075",Commercial,7,2,"1 prior claim, $2000 total paid"
INS55746,"55, Female, Single","Augusta, GA, 30901",Small Business,15,4,"1 prior claim, $5000 total paid"
INS55747,"28, Female, Single","Albany, GA, 31701",Small Business,20,1,0 prior claims
INS55748,"60, Male, Single","Albany, GA, 31701",Small Business,3,2,0 prior claims
INS55749,"60, Male, Single","Macon, GA, 31201",Small Business,3,3,"2 prior claims, $15000 total paid"
INS55750,"30, Female, Married","Macon, GA, 31201",High Value,1,3,0 prior claims
INS55751,"40, Male, Married","Augusta, GA, 30901",Commercial,8,1,"2 prior claims, $15000 total paid"
INS55752,"35, Male, Single","Macon, GA, 31201",Standard,5,1,"2 prior claims, $15000 total paid"
INS55753,"55, Female, Single","Savannah, GA, 31401",Commercial,19,3,"3 prior claims, $20000 total paid"
INS55754,"45, Male, Married","Athens, GA, 30601",Small Business,11,1,"2 prior claims, $15000 total paid"
INS55755,"45, Male, Married","Atlanta, GA, 30303",Small Business,16,2,"1 prior claim, $5000 total paid"
INS55756,"45, Male, Married","Savannah, GA, 31401",Commercial,14,2,"1 prior claim, $5000 total paid"
INS55757,"50, Female, Married","Roswell, GA, 30075",Standard,5,2,"1 prior claim, $2000 total paid"
INS55758,"60, Male, Single","Atlanta, GA, 30303",Commercial,10,1,"1 prior claim, $5000 total paid"
INS55759,"60, Male, Single","Columbus, GA, 31901",High Value,19,1,0 prior claims
INS55760,"28, Female, Single","Augusta, GA, 30901",High Value,10,4,0 prior claims
INS55761,"50, Female, Married","Augusta, GA, 30901",Standard,6,2,0 prior claims
INS55762,"40, Male, Married","Roswell, GA, 30075",Standard,9,4,"1 prior claim, $5000 total paid"
INS55763,"28, Female, Single","Roswell, GA, 30075",Small Business,20,2,"1 prior claim, $5000 total paid"
INS55764,"55, Female, Single","Athens, GA, 30601",Commercial,8,1,0 prior claims
INS55765,"60, Male, Single","Augusta, GA, 30901",Standard,14,3,0 prior claims
INS55766,"60, Male, Single","Macon, GA, 31201",Small Business,19,4,"1 prior claim, $2000 total paid"
INS55767,"50, Female, Married","Savannah, GA, 31401",Standard,10,4,"3 prior claims, $20000 total paid"
INS55768,"28, Female, Single","Roswell, GA, 30075",High Value,9,3,"3 prior claims, $20000 total paid"
INS55769,"45, Male, Married","Macon, GA, 31201",Small Business,18,2,"1 prior claim, $5000 total paid"
INS55770,"40, Male, Married","Roswell, GA, 30075",Standard,5,4,0 prior claims
INS55771,"45, Male, Married","Columbus, GA, 31901",Commercial,6,2,"3 prior claims, $20000 total paid"
INS55772,"30, Female, Married","Albany, GA, 31701",Standard,3,2,"1 prior claim, $2000 total paid"
INS55773,"55, Female, Single","Macon, GA, 31201",High Value,11,2,0 prior claims
INS55774,"30, Female, Married","Roswell, GA, 30075",High Value,20,1,0 prior claims
INS55775,"28, Female, Single","Columbus, GA, 31901",High Value,1,2,"2 prior claims, $15000 total paid"
INS55776,"28, Female, Single","Athens, GA, 30601",Standard,5,4,"3 prior claims, $20000 total paid"
INS55777,"60, Male, Single","Columbus, GA, 31901",Small Business,15,1,"2 prior claims, $15000 total paid"
INS55778,"55, Female, Single","Columbus, GA, 31901",Commercial,13,3,"2 prior claims, $15000 total paid"
INS55779,"30, Female, Married","Augusta, GA, 30901",Small Business,15,2,"1 prior claim, $5000 total paid"
INS55780,"40, Male, Married","Roswell, GA, 30075",Standard,6,1,"2 prior claims, $15000 total paid"
INS55781,"28, Female, Single","Savannah, GA, 31401",Small Business,16,1,"1 prior claim, $2000 total paid"
INS55782,"40, Male, Married","Columbus, GA, 31901",High Value,5,1,"2 prior claims, $15000 total paid"
INS55783,"28, Female, Single","Albany, GA, 31701",High Value,3,4,"1 prior claim, $5000 total paid"
INS55784,"28, Female, Single","Roswell, GA, 30075",Small Business,8,3,"2 prior claims, $15000 total paid"
INS55785,"30, Female, Married","Atlanta, GA, 30303",High Value,8,2,0 prior claims
INS55786,"30, Female, Married","Augusta, GA, 30901",High Value,6,3,"3 prior claims, $20000 total paid"
INS55787,"45, Male, Married","Albany, GA, 31701",Standard,20,2,"3 prior claims, $20000 total paid"
INS55788,"60, Male, Single","Roswell, GA, 30075",Commercial,19,3,"1 prior claim, $2000 total paid"
INS55789,"40, Male, Married","Albany, GA, 31701",Standard,1,4,"2 prior claims, $15000 total paid"
INS55790,"40, Male, Married","Macon, GA, 31201",Standard,3,3,"2 prior claims, $15000 total paid"
INS55791,"40, Male, Married","Columbus, GA, 31901",Small Business,1,4,"1 prior claim, $5000 total paid"
INS55792,"55, Female, Single","Albany, GA, 31701",High Value,15,3,0 prior claims
INS55793,"30, Female, Married","Columbus, GA, 31901",Standard,11,2,"3 prior claims, $20000 total paid"
INS55794,"30, Female, Married","Savannah, GA, 31401",Commercial,5,1,"1 prior claim, $5000 total paid"
INS55795,"30, Female, Married","Macon, GA, 31201",High Value,20,3,"1 prior claim, $5000 total paid"
INS55796,"50, Female, Married","Columbus, GA, 31901",Commercial,4,2,"1 prior claim, $2000 total paid"
INS55797,"60, Male, Single","Albany, GA, 31701",High Value,6,3,"2 prior claims, $15000 total paid"
