Policy Number,Policy Effective Date,Policy Expiration Date,Product Name/Type,Coverage Limits,Deductible Amount,Premium Amount,Agent/Broker ID,Underwriting Segment/Risk Class
POL80203,12/28/23,12/26/24,Auto Standard,100000,500,1200,AGT101,Standard
POL80204,12/17/23,12/15/24,Homeowners Plus,300000,1000,1800,AGT101,Preferred
POL80205,9/3/22,9/2/23,Property Commercial,500000,2000,2500,AGT103,Commercial
POL80206,6/22/23,6/20/24,Auto Standard,100000,500,1200,AGT102,Standard
POL80207,6/27/23,6/25/24,Auto Standard,100000,500,1200,AGT103,Standard
POL80208,11/4/22,11/3/23,Property Commercial,500000,2000,2500,AGT101,Commercial
POL80209,12/2/23,11/30/24,Homeowners Plus,300000,1000,1800,AGT102,Preferred
POL80210,3/6/23,3/4/24,Property Commercial,500000,2000,2500,AGT103,Commercial
POL80211,8/8/22,8/7/23,Homeowners Plus,300000,1000,1800,AGT103,Preferred
POL80212,10/25/22,10/24/23,Workers' Comp Small Business,50000,0,1000,AGT102,Small Business
POL80213,9/16/23,9/14/24,Homeowners Plus,300000,1000,1800,AGT101,Preferred
POL80214,6/22/22,6/21/23,Auto Standard,100000,500,1200,AGT103,Standard
POL80215,10/28/22,10/27/23,Workers' Comp Small Business,50000,0,1000,AGT103,Small Business
POL80216,3/10/23,3/8/24,Auto Standard,100000,500,1200,AGT101,Standard
POL80217,2/26/22,2/25/23,Auto Standard,100000,500,1200,AGT101,Standard
POL80218,8/4/22,8/3/23,Workers' Comp Small Business,50000,0,1000,AGT101,Small Business
POL80219,10/23/23,10/21/24,Auto Standard,100000,500,1200,AGT102,Standard
POL80220,7/21/23,7/19/24,Auto Standard,100000,500,1200,AGT101,Standard
POL80221,12/17/23,12/15/24,Health Basic,5000,250,500,AGT101,Standard
POL80222,7/6/22,7/5/23,Homeowners Plus,300000,1000,1800,AGT101,Preferred
POL80223,12/23/23,12/21/24,Property Commercial,500000,2000,2500,AGT103,Commercial
POL80224,2/7/22,2/6/23,Homeowners Plus,300000,1000,1800,AGT102,Preferred
POL80225,8/7/23,8/5/24,Homeowners Plus,300000,1000,1800,AGT101,Preferred
POL80226,1/14/23,1/13/24,Property Commercial,500000,2000,2500,AGT103,Commercial
POL80227,12/19/22,12/18/23,Health Basic,5000,250,500,AGT103,Standard
POL80228,10/23/23,10/21/24,Homeowners Plus,300000,1000,1800,AGT103,Preferred
POL80229,7/25/22,7/24/23,Workers' Comp Small Business,50000,0,1000,AGT101,Small Business
POL80230,9/29/22,9/28/23,Workers' Comp Small Business,50000,0,1000,AGT101,Small Business
POL80231,9/22/23,9/20/24,Workers' Comp Small Business,50000,0,1000,AGT102,Small Business
POL80232,2/21/22,2/20/23,Homeowners Plus,300000,1000,1800,AGT103,Preferred
POL80233,4/17/23,4/15/24,Auto Standard,100000,500,1200,AGT101,Standard
POL80234,7/19/23,7/17/24,Health Basic,5000,250,500,AGT101,Standard
POL80235,2/10/23,2/9/24,Auto Standard,100000,500,1200,AGT103,Standard
POL80236,10/21/23,10/19/24,Health Basic,5000,250,500,AGT102,Standard
POL80237,6/23/23,6/21/24,Workers' Comp Small Business,50000,0,1000,AGT101,Small Business
POL80238,9/3/23,9/1/24,Property Commercial,500000,2000,2500,AGT102,Commercial
POL80239,7/28/22,7/27/23,Health Basic,5000,250,500,AGT101,Standard
POL80240,12/20/23,12/18/24,Property Commercial,500000,2000,2500,AGT101,Commercial
POL80241,1/24/23,1/23/24,Auto Standard,100000,500,1200,AGT103,Standard
POL80242,10/15/23,10/13/24,Property Commercial,500000,2000,2500,AGT101,Commercial
POL80243,4/14/22,4/13/23,Health Basic,5000,250,500,AGT102,Standard
POL80244,2/1/23,1/31/24,Workers' Comp Small Business,50000,0,1000,AGT101,Small Business
POL80245,5/31/22,5/30/23,Homeowners Plus,300000,1000,1800,AGT101,Preferred
POL80246,9/27/22,9/26/23,Auto Standard,100000,500,1200,AGT101,Standard
POL80247,8/11/23,8/9/24,Health Basic,5000,250,500,AGT101,Standard
POL80248,10/16/22,10/15/23,Auto Standard,100000,500,1200,AGT101,Standard
POL80249,6/4/23,6/2/24,Property Commercial,500000,2000,2500,AGT102,Commercial
POL80250,1/24/22,1/23/23,Homeowners Plus,300000,1000,1800,AGT102,Preferred
POL80251,5/20/23,5/18/24,Health Basic,5000,250,500,AGT102,Standard
POL80252,9/28/23,9/26/24,Property Commercial,500000,2000,2500,AGT103,Commercial
POL80253,3/10/23,3/8/24,Homeowners Plus,300000,1000,1800,AGT102,Preferred
POL80254,3/20/23,3/18/24,Property Commercial,500000,2000,2500,AGT103,Commercial
POL80255,1/11/23,1/10/24,Health Basic,5000,250,500,AGT103,Standard
POL80256,9/9/22,9/8/23,Auto Standard,100000,500,1200,AGT102,Standard
POL80257,11/9/22,11/8/23,Health Basic,5000,250,500,AGT101,Standard
POL80258,9/22/22,9/21/23,Homeowners Plus,300000,1000,1800,AGT101,Preferred
POL80259,1/26/23,1/25/24,Property Commercial,500000,2000,2500,AGT103,Commercial
POL80260,7/23/23,7/21/24,Auto Standard,100000,500,1200,AGT103,Standard
POL80261,2/14/23,2/13/24,Auto Standard,100000,500,1200,AGT102,Standard
POL80262,2/21/23,2/20/24,Workers' Comp Small Business,50000,0,1000,AGT102,Small Business
POL80263,10/14/23,10/12/24,Workers' Comp Small Business,50000,0,1000,AGT103,Small Business
POL80264,10/11/23,10/9/24,Auto Standard,100000,500,1200,AGT103,Standard
POL80265,8/26/23,8/24/24,Homeowners Plus,300000,1000,1800,AGT103,Preferred
POL80266,12/28/23,12/26/24,Health Basic,5000,250,500,AGT103,Standard
POL80267,1/28/22,1/27/23,Workers' Comp Small Business,50000,0,1000,AGT102,Small Business
POL80268,10/1/22,9/30/23,Homeowners Plus,300000,1000,1800,AGT101,Preferred
POL80269,3/20/23,3/18/24,Auto Standard,100000,500,1200,AGT102,Standard
POL80270,9/24/23,9/22/24,Property Commercial,500000,2000,2500,AGT103,Commercial
POL80271,7/26/22,7/25/23,Property Commercial,500000,2000,2500,AGT101,Commercial
POL80272,9/17/23,9/15/24,Property Commercial,500000,2000,2500,AGT102,Commercial
POL80273,12/3/23,12/1/24,Workers' Comp Small Business,50000,0,1000,AGT101,Small Business
POL80274,12/11/22,12/10/23,Health Basic,5000,250,500,AGT102,Standard
POL80275,6/20/23,6/18/24,Workers' Comp Small Business,50000,0,1000,AGT102,Small Business
POL80276,3/31/23,3/29/24,Property Commercial,500000,2000,2500,AGT102,Commercial
POL80277,12/29/22,12/28/23,Homeowners Plus,300000,1000,1800,AGT103,Preferred
POL80278,1/8/22,1/7/23,Auto Standard,100000,500,1200,AGT101,Standard
POL80279,3/3/22,3/2/23,Homeowners Plus,300000,1000,1800,AGT102,Preferred
POL80280,12/11/22,12/10/23,Workers' Comp Small Business,50000,0,1000,AGT102,Small Business
POL80281,12/21/22,12/20/23,Property Commercial,500000,2000,2500,AGT103,Commercial
POL80282,5/12/23,5/10/24,Homeowners Plus,300000,1000,1800,AGT101,Preferred
POL80283,3/14/22,3/13/23,Homeowners Plus,300000,1000,1800,AGT102,Preferred
POL80284,5/18/22,5/17/23,Property Commercial,500000,2000,2500,AGT103,Commercial
POL80285,2/5/22,2/4/23,Health Basic,5000,250,500,AGT103,Standard
POL80286,7/18/22,7/17/23,Health Basic,5000,250,500,AGT101,Standard
POL80287,7/13/23,7/11/24,Homeowners Plus,300000,1000,1800,AGT101,Preferred
POL80288,8/18/22,8/17/23,Homeowners Plus,300000,1000,1800,AGT102,Preferred
POL80289,11/6/23,11/4/24,Property Commercial,500000,2000,2500,AGT101,Commercial
POL80290,6/26/22,6/25/23,Auto Standard,100000,500,1200,AGT102,Standard
POL80291,12/28/23,12/26/24,Property Commercial,500000,2000,2500,AGT103,Commercial
POL80292,5/27/22,5/26/23,Property Commercial,500000,2000,2500,AGT103,Commercial
POL80293,8/6/22,8/5/23,Property Commercial,500000,2000,2500,AGT103,Commercial
POL80294,8/5/23,8/3/24,Health Basic,5000,250,500,AGT101,Standard
POL80295,2/19/22,2/18/23,Health Basic,5000,250,500,AGT101,Standard
POL80296,3/10/22,3/9/23,Property Commercial,500000,2000,2500,AGT102,Commercial
POL80297,8/17/22,8/16/23,Health Basic,5000,250,500,AGT101,Standard
POL80298,6/11/23,6/9/24,Homeowners Plus,300000,1000,1800,AGT103,Preferred
POL80299,7/6/22,7/5/23,Homeowners Plus,300000,1000,1800,AGT103,Preferred
POL80300,5/16/22,5/15/23,Auto Standard,100000,500,1200,AGT101,Standard
POL80301,4/19/22,4/18/23,Homeowners Plus,300000,1000,1800,AGT101,Preferred
POL80302,4/13/23,4/11/24,Auto Standard,100000,500,1200,AGT103,Standard
POL80303,1/22/23,1/21/24,Homeowners Plus,300000,1000,1800,AGT103,Preferred
POL80304,4/28/23,4/26/24,Workers' Comp Small Business,50000,0,1000,AGT102,Small Business
POL80305,9/26/22,9/25/23,Auto Standard,100000,500,1200,AGT101,Standard
POL80306,5/30/22,5/29/23,Homeowners Plus,300000,1000,1800,AGT101,Preferred
POL80307,6/3/22,6/2/23,Health Basic,5000,250,500,AGT101,Standard
POL80308,11/2/23,10/31/24,Health Basic,5000,250,500,AGT102,Standard
POL80309,1/13/23,1/12/24,Homeowners Plus,300000,1000,1800,AGT102,Preferred
POL80310,1/21/22,1/20/23,Health Basic,5000,250,500,AGT102,Standard
POL80311,10/1/22,9/30/23,Property Commercial,500000,2000,2500,AGT102,Commercial
POL80312,6/24/22,6/23/23,Property Commercial,500000,2000,2500,AGT101,Commercial
POL80313,7/7/22,7/6/23,Auto Standard,100000,500,1200,AGT101,Standard
POL80314,5/1/23,4/29/24,Workers' Comp Small Business,50000,0,1000,AGT101,Small Business
POL80315,12/1/22,11/30/23,Workers' Comp Small Business,50000,0,1000,AGT102,Small Business
POL80316,11/4/22,11/3/23,Health Basic,5000,250,500,AGT103,Standard
POL80317,10/12/23,10/10/24,Workers' Comp Small Business,50000,0,1000,AGT103,Small Business
POL80318,12/9/23,12/7/24,Property Commercial,500000,2000,2500,AGT102,Commercial
POL80319,6/30/23,6/28/24,Property Commercial,500000,2000,2500,AGT102,Commercial
POL80320,8/9/23,8/7/24,Property Commercial,500000,2000,2500,AGT103,Commercial
POL80321,1/23/22,1/22/23,Homeowners Plus,300000,1000,1800,AGT101,Preferred
POL80322,8/8/23,8/6/24,Property Commercial,500000,2000,2500,AGT102,Commercial
POL80323,7/3/23,7/1/24,Property Commercial,500000,2000,2500,AGT103,Commercial
POL80324,4/30/22,4/29/23,Workers' Comp Small Business,50000,0,1000,AGT103,Small Business
POL80325,9/27/23,9/25/24,Workers' Comp Small Business,50000,0,1000,AGT103,Small Business
POL80326,12/9/23,12/7/24,Property Commercial,500000,2000,2500,AGT101,Commercial
POL80327,8/22/23,8/20/24,Homeowners Plus,300000,1000,1800,AGT102,Preferred
POL80328,11/2/23,10/31/24,Homeowners Plus,300000,1000,1800,AGT101,Preferred
POL80329,1/26/23,1/25/24,Property Commercial,500000,2000,2500,AGT103,Commercial
POL80330,7/19/22,7/18/23,Workers' Comp Small Business,50000,0,1000,AGT102,Small Business
POL80331,4/11/23,4/9/24,Health Basic,5000,250,500,AGT102,Standard
POL80332,4/26/23,4/24/24,Homeowners Plus,300000,1000,1800,AGT103,Preferred
POL80333,6/15/23,6/13/24,Homeowners Plus,300000,1000,1800,AGT103,Preferred
POL80334,12/9/22,12/8/23,Auto Standard,100000,500,1200,AGT103,Standard
POL80335,8/9/22,8/8/23,Health Basic,5000,250,500,AGT102,Standard
POL80336,8/2/22,8/1/23,Property Commercial,500000,2000,2500,AGT101,Commercial
POL80337,3/27/22,3/26/23,Property Commercial,500000,2000,2500,AGT103,Commercial
POL80338,1/20/22,1/19/23,Homeowners Plus,300000,1000,1800,AGT102,Preferred
POL80339,3/26/23,3/24/24,Property Commercial,500000,2000,2500,AGT101,Commercial
POL80340,12/27/23,12/25/24,Auto Standard,100000,500,1200,AGT101,Standard
POL80341,4/21/22,4/20/23,Workers' Comp Small Business,50000,0,1000,AGT101,Small Business
POL80342,12/29/22,12/28/23,Auto Standard,100000,500,1200,AGT103,Standard
POL80343,4/11/22,4/10/23,Auto Standard,100000,500,1200,AGT102,Standard
POL80344,12/29/22,12/28/23,Auto Standard,100000,500,1200,AGT101,Standard
POL80345,9/6/23,9/4/24,Homeowners Plus,300000,1000,1800,AGT101,Preferred
POL80346,11/27/23,11/25/24,Homeowners Plus,300000,1000,1800,AGT101,Preferred
POL80347,12/10/22,12/9/23,Auto Standard,100000,500,1200,AGT102,Standard
POL80348,12/11/23,12/9/24,Homeowners Plus,300000,1000,1800,AGT102,Preferred
POL80349,10/15/23,10/13/24,Property Commercial,500000,2000,2500,AGT103,Commercial
POL80350,11/28/22,11/27/23,Property Commercial,500000,2000,2500,AGT103,Commercial
POL80351,1/5/22,1/4/23,Workers' Comp Small Business,50000,0,1000,AGT101,Small Business
POL80352,9/17/23,9/15/24,Health Basic,5000,250,500,AGT103,Standard
POL80353,1/16/22,1/15/23,Homeowners Plus,300000,1000,1800,AGT102,Preferred
POL80354,7/7/22,7/6/23,Auto Standard,100000,500,1200,AGT102,Standard
POL80355,12/2/22,12/1/23,Property Commercial,500000,2000,2500,AGT103,Commercial
POL80356,12/24/23,12/22/24,Homeowners Plus,300000,1000,1800,AGT101,Preferred
POL80357,3/15/23,3/13/24,Auto Standard,100000,500,1200,AGT102,Standard
POL80358,11/26/23,11/24/24,Health Basic,5000,250,500,AGT102,Standard
POL80359,4/24/23,4/22/24,Health Basic,5000,250,500,AGT101,Standard
POL80360,8/5/23,8/3/24,Workers' Comp Small Business,50000,0,1000,AGT102,Small Business
POL80361,7/1/23,6/29/24,Homeowners Plus,300000,1000,1800,AGT101,Preferred
POL80362,1/20/23,1/19/24,Property Commercial,500000,2000,2500,AGT102,Commercial
POL80363,1/28/23,1/27/24,Property Commercial,500000,2000,2500,AGT103,Commercial
POL80364,8/14/22,8/13/23,Health Basic,5000,250,500,AGT103,Standard
POL80365,4/25/22,4/24/23,Workers' Comp Small Business,50000,0,1000,AGT102,Small Business
POL80366,7/17/23,7/15/24,Homeowners Plus,300000,1000,1800,AGT101,Preferred
POL80367,10/20/23,10/18/24,Health Basic,5000,250,500,AGT102,Standard
POL80368,10/24/22,10/23/23,Health Basic,5000,250,500,AGT101,Standard
POL80369,11/11/23,11/9/24,Workers' Comp Small Business,50000,0,1000,AGT103,Small Business
POL80370,8/20/23,8/18/24,Auto Standard,100000,500,1200,AGT103,Standard
POL80371,1/14/22,1/13/23,Property Commercial,500000,2000,2500,AGT103,Commercial
POL80372,11/7/22,11/6/23,Property Commercial,500000,2000,2500,AGT103,Commercial
POL80373,10/11/22,10/10/23,Workers' Comp Small Business,50000,0,1000,AGT103,Small Business
POL80374,7/16/23,7/14/24,Workers' Comp Small Business,50000,0,1000,AGT101,Small Business
POL80375,3/23/22,3/22/23,Homeowners Plus,300000,1000,1800,AGT101,Preferred
POL80376,5/28/22,5/27/23,Homeowners Plus,300000,1000,1800,AGT102,Preferred
POL80377,10/31/22,10/30/23,Workers' Comp Small Business,50000,0,1000,AGT101,Small Business
POL80378,4/8/23,4/6/24,Health Basic,5000,250,500,AGT102,Standard
POL80379,4/1/22,3/31/23,Property Commercial,500000,2000,2500,AGT102,Commercial
POL80380,12/22/23,12/20/24,Workers' Comp Small Business,50000,0,1000,AGT102,Small Business
POL80381,9/25/23,9/23/24,Homeowners Plus,300000,1000,1800,AGT103,Preferred
POL80382,6/14/22,6/13/23,Auto Standard,100000,500,1200,AGT103,Standard
POL80383,3/29/22,3/28/23,Homeowners Plus,300000,1000,1800,AGT103,Preferred
POL80384,8/30/23,8/28/24,Health Basic,5000,250,500,AGT101,Standard
POL80385,3/30/22,3/29/23,Workers' Comp Small Business,50000,0,1000,AGT103,Small Business
POL80386,5/29/23,5/27/24,Auto Standard,100000,500,1200,AGT102,Standard
POL80387,12/28/22,12/27/23,Property Commercial,500000,2000,2500,AGT103,Commercial
POL80388,8/22/23,8/20/24,Workers' Comp Small Business,50000,0,1000,AGT101,Small Business
POL80389,7/25/22,7/24/23,Auto Standard,100000,500,1200,AGT101,Standard
POL80390,12/25/22,12/24/23,Health Basic,5000,250,500,AGT103,Standard
POL80391,10/14/22,10/13/23,Property Commercial,500000,2000,2500,AGT102,Commercial
POL80392,6/9/23,6/7/24,Workers' Comp Small Business,50000,0,1000,AGT103,Small Business
POL80393,9/10/23,9/8/24,Workers' Comp Small Business,50000,0,1000,AGT102,Small Business
POL80394,12/18/22,12/17/23,Auto Standard,100000,500,1200,AGT103,Standard
POL80395,12/3/22,12/2/23,Health Basic,5000,250,500,AGT102,Standard
POL80396,8/30/22,8/29/23,Property Commercial,500000,2000,2500,AGT103,Commercial
POL80397,6/25/22,6/24/23,Workers' Comp Small Business,50000,0,1000,AGT102,Small Business
POL80398,1/12/23,1/11/24,Homeowners Plus,300000,1000,1800,AGT101,Preferred
POL80399,11/26/23,11/24/24,Property Commercial,500000,2000,2500,AGT101,Commercial
POL80400,11/24/22,11/23/23,Property Commercial,500000,2000,2500,AGT103,Commercial
POL80401,2/16/22,2/15/23,Homeowners Plus,300000,1000,1800,AGT101,Preferred
POL80402,4/3/23,4/1/24,Homeowners Plus,300000,1000,1800,AGT101,Preferred
POL80403,11/25/22,11/24/23,Property Commercial,500000,2000,2500,AGT102,Commercial
POL80404,3/6/23,3/4/24,Auto Standard,100000,500,1200,AGT102,Standard
POL80405,3/29/22,3/28/23,Homeowners Plus,300000,1000,1800,AGT103,Preferred
POL80406,10/19/22,10/18/23,Property Commercial,500000,2000,2500,AGT101,Commercial
POL80407,8/16/23,8/14/24,Health Basic,5000,250,500,AGT101,Standard
POL80408,8/2/23,7/31/24,Auto Standard,100000,500,1200,AGT101,Standard
POL80409,10/11/22,10/10/23,Property Commercial,500000,2000,2500,AGT101,Commercial
POL80410,7/25/23,7/23/24,Homeowners Plus,300000,1000,1800,AGT103,Preferred
POL80411,9/2/22,9/1/23,Auto Standard,100000,500,1200,AGT102,Standard
POL80412,1/15/23,1/14/24,Auto Standard,100000,500,1200,AGT103,Standard
POL80413,4/28/23,4/26/24,Homeowners Plus,300000,1000,1800,AGT103,Preferred
POL80414,2/9/23,2/8/24,Workers' Comp Small Business,50000,0,1000,AGT101,Small Business
POL80415,5/21/23,5/19/24,Homeowners Plus,300000,1000,1800,AGT103,Preferred
POL80416,12/21/23,12/19/24,Homeowners Plus,300000,1000,1800,AGT103,Preferred
POL80417,2/22/22,2/21/23,Health Basic,5000,250,500,AGT103,Standard
POL80418,11/19/22,11/18/23,Auto Standard,100000,500,1200,AGT102,Standard
POL80419,11/10/22,11/9/23,Homeowners Plus,300000,1000,1800,AGT102,Preferred
POL80420,12/15/22,12/14/23,Health Basic,5000,250,500,AGT102,Standard
POL80421,7/15/22,7/14/23,Health Basic,5000,250,500,AGT102,Standard
POL80422,4/12/22,4/11/23,Health Basic,5000,250,500,AGT102,Standard
POL80423,9/8/22,9/7/23,Workers' Comp Small Business,50000,0,1000,AGT103,Small Business
POL80424,6/6/23,6/4/24,Health Basic,5000,250,500,AGT101,Standard
POL80425,4/5/22,4/4/23,Workers' Comp Small Business,50000,0,1000,AGT102,Small Business
POL80426,5/4/23,5/2/24,Property Commercial,500000,2000,2500,AGT103,Commercial
POL80427,2/8/22,2/7/23,Property Commercial,500000,2000,2500,AGT102,Commercial
POL80428,1/4/22,1/3/23,Workers' Comp Small Business,50000,0,1000,AGT102,Small Business
POL80429,9/9/23,9/7/24,Health Basic,5000,250,500,AGT102,Standard
POL80430,5/19/22,5/18/23,Homeowners Plus,300000,1000,1800,AGT103,Preferred
POL80431,8/2/22,8/1/23,Workers' Comp Small Business,50000,0,1000,AGT103,Small Business
POL80432,10/9/23,10/7/24,Auto Standard,100000,500,1200,AGT102,Standard
POL80433,9/24/23,9/22/24,Auto Standard,100000,500,1200,AGT103,Standard
POL80434,12/25/23,12/23/24,Property Commercial,500000,2000,2500,AGT102,Commercial
POL80435,3/2/23,2/29/24,Health Basic,5000,250,500,AGT101,Standard
POL80436,4/6/23,4/4/24,Health Basic,5000,250,500,AGT101,Standard
POL80437,9/6/23,9/4/24,Homeowners Plus,300000,1000,1800,AGT101,Preferred
POL80438,5/3/22,5/2/23,Homeowners Plus,300000,1000,1800,AGT101,Preferred
POL80439,4/18/22,4/17/23,Workers' Comp Small Business,50000,0,1000,AGT101,Small Business
POL80440,9/23/23,9/21/24,Workers' Comp Small Business,50000,0,1000,AGT103,Small Business
POL80441,11/21/23,11/19/24,Homeowners Plus,300000,1000,1800,AGT101,Preferred
POL80442,11/29/23,11/27/24,Workers' Comp Small Business,50000,0,1000,AGT103,Small Business
POL80443,11/23/22,11/22/23,Property Commercial,500000,2000,2500,AGT103,Commercial
POL80444,4/2/22,4/1/23,Homeowners Plus,300000,1000,1800,AGT102,Preferred
POL80445,11/4/22,11/3/23,Homeowners Plus,300000,1000,1800,AGT101,Preferred
POL80446,12/23/22,12/22/23,Workers' Comp Small Business,50000,0,1000,AGT102,Small Business
POL80447,11/19/22,11/18/23,Health Basic,5000,250,500,AGT102,Standard
POL80448,1/27/23,1/26/24,Homeowners Plus,300000,1000,1800,AGT103,Preferred
POL80449,12/28/23,12/26/24,Workers' Comp Small Business,50000,0,1000,AGT101,Small Business
POL80450,1/13/22,1/12/23,Homeowners Plus,300000,1000,1800,AGT101,Preferred
POL80451,12/5/22,12/4/23,Homeowners Plus,300000,1000,1800,AGT103,Preferred
POL80452,1/26/23,1/25/24,Homeowners Plus,300000,1000,1800,AGT101,Preferred
POL80453,12/21/23,12/19/24,Workers' Comp Small Business,50000,0,1000,AGT102,Small Business
POL80454,2/20/22,2/19/23,Property Commercial,500000,2000,2500,AGT102,Commercial
POL80455,10/24/23,10/22/24,Auto Standard,100000,500,1200,AGT102,Standard
POL80456,3/23/23,3/21/24,Property Commercial,500000,2000,2500,AGT103,Commercial
POL80457,1/14/22,1/13/23,Auto Standard,100000,500,1200,AGT101,Standard
POL80458,12/31/23,12/29/24,Workers' Comp Small Business,50000,0,1000,AGT101,Small Business
POL80459,9/7/23,9/5/24,Auto Standard,100000,500,1200,AGT101,Standard
POL80460,12/1/23,11/29/24,Homeowners Plus,300000,1000,1800,AGT101,Preferred
POL80461,7/2/22,7/1/23,Homeowners Plus,300000,1000,1800,AGT102,Preferred
POL80462,8/11/23,8/9/24,Workers' Comp Small Business,50000,0,1000,AGT103,Small Business
POL80463,3/9/23,3/7/24,Property Commercial,500000,2000,2500,AGT103,Commercial
POL80464,1/9/22,1/8/23,Homeowners Plus,300000,1000,1800,AGT103,Preferred
POL80465,10/22/23,10/20/24,Auto Standard,100000,500,1200,AGT103,Standard
POL80466,10/5/22,10/4/23,Auto Standard,100000,500,1200,AGT103,Standard
POL80467,10/19/22,10/18/23,Auto Standard,100000,500,1200,AGT103,Standard
POL80468,4/16/23,4/14/24,Property Commercial,500000,2000,2500,AGT103,Commercial
POL80469,9/30/22,9/29/23,Workers' Comp Small Business,50000,0,1000,AGT102,Small Business
POL80470,1/18/22,1/17/23,Property Commercial,500000,2000,2500,AGT103,Commercial
POL80471,5/5/22,5/4/23,Workers' Comp Small Business,50000,0,1000,AGT102,Small Business
POL80472,8/28/22,8/27/23,Auto Standard,100000,500,1200,AGT103,Standard
POL80473,1/6/23,1/5/24,Auto Standard,100000,500,1200,AGT101,Standard
POL80474,4/5/23,4/3/24,Homeowners Plus,300000,1000,1800,AGT103,Preferred
POL80475,11/28/23,11/26/24,Workers' Comp Small Business,50000,0,1000,AGT101,Small Business
POL80476,7/10/23,7/8/24,Homeowners Plus,300000,1000,1800,AGT101,Preferred
POL80477,10/7/23,10/5/24,Health Basic,5000,250,500,AGT103,Standard
POL80478,5/3/22,5/2/23,Auto Standard,100000,500,1200,AGT103,Standard
POL80479,6/8/22,6/7/23,Auto Standard,100000,500,1200,AGT101,Standard
POL80480,2/12/23,2/11/24,Health Basic,5000,250,500,AGT101,Standard
POL80481,5/3/23,5/1/24,Workers' Comp Small Business,50000,0,1000,AGT101,Small Business
POL80482,3/30/22,3/29/23,Workers' Comp Small Business,50000,0,1000,AGT102,Small Business
POL80483,6/9/22,6/8/23,Auto Standard,100000,500,1200,AGT102,Standard
POL80484,7/20/23,7/18/24,Property Commercial,500000,2000,2500,AGT101,Commercial
POL80485,1/18/22,1/17/23,Health Basic,5000,250,500,AGT101,Standard
POL80486,2/22/22,2/21/23,Workers' Comp Small Business,50000,0,1000,AGT103,Small Business
POL80487,6/6/22,6/5/23,Property Commercial,500000,2000,2500,AGT102,Commercial
POL80488,9/6/23,9/4/24,Homeowners Plus,300000,1000,1800,AGT101,Preferred
POL80489,2/19/23,2/18/24,Health Basic,5000,250,500,AGT101,Standard
POL80490,3/29/23,3/27/24,Homeowners Plus,300000,1000,1800,AGT101,Preferred
POL80491,5/26/23,5/24/24,Property Commercial,500000,2000,2500,AGT102,Commercial
POL80492,4/19/23,4/17/24,Property Commercial,500000,2000,2500,AGT103,Commercial
POL80493,6/11/23,6/9/24,Auto Standard,100000,500,1200,AGT103,Standard
POL80494,7/23/22,7/22/23,Workers' Comp Small Business,50000,0,1000,AGT102,Small Business
POL80495,3/2/22,3/1/23,Homeowners Plus,300000,1000,1800,AGT103,Preferred
POL80496,11/1/22,10/31/23,Workers' Comp Small Business,50000,0,1000,AGT102,Small Business
POL80497,8/5/22,8/4/23,Auto Standard,100000,500,1200,AGT101,Standard
POL80498,4/23/23,4/21/24,Workers' Comp Small Business,50000,0,1000,AGT101,Small Business
POL80499,3/4/23,3/2/24,Workers' Comp Small Business,50000,0,1000,AGT102,Small Business
POL80500,4/12/23,4/10/24,Property Commercial,500000,2000,2500,AGT101,Commercial
POL80501,5/5/22,5/4/23,Workers' Comp Small Business,50000,0,1000,AGT102,Small Business
POL80502,4/5/23,4/3/24,Auto Standard,100000,500,1200,AGT103,Standard
POL80503,3/15/22,3/14/23,Auto Standard,100000,500,1200,AGT103,Standard
POL80504,12/22/23,12/20/24,Workers' Comp Small Business,50000,0,1000,AGT103,Small Business
POL80505,8/14/23,8/12/24,Health Basic,5000,250,500,AGT102,Standard
POL80506,2/20/23,2/19/24,Health Basic,5000,250,500,AGT101,Standard
POL80507,1/5/22,1/4/23,Property Commercial,500000,2000,2500,AGT102,Commercial
POL80508,10/19/22,10/18/23,Property Commercial,500000,2000,2500,AGT103,Commercial
POL80509,2/24/23,2/23/24,Health Basic,5000,250,500,AGT102,Standard
POL80510,9/7/22,9/6/23,Health Basic,5000,250,500,AGT101,Standard
POL80511,8/27/23,8/25/24,Auto Standard,100000,500,1200,AGT101,Standard
POL80512,5/11/22,5/10/23,Property Commercial,500000,2000,2500,AGT103,Commercial
POL80513,1/13/23,1/12/24,Auto Standard,100000,500,1200,AGT103,Standard
POL80514,11/23/22,11/22/23,Property Commercial,500000,2000,2500,AGT103,Commercial
POL80515,7/3/23,7/1/24,Health Basic,5000,250,500,AGT103,Standard
POL80516,8/13/22,8/12/23,Property Commercial,500000,2000,2500,AGT102,Commercial
POL80517,6/7/22,6/6/23,Homeowners Plus,300000,1000,1800,AGT102,Preferred
POL80518,11/13/23,11/11/24,Auto Standard,100000,500,1200,AGT103,Standard
POL80519,10/1/23,9/29/24,Homeowners Plus,300000,1000,1800,AGT101,Preferred
POL80520,1/1/22,12/31/22,Health Basic,5000,250,500,AGT101,Standard
POL80521,1/16/22,1/15/23,Auto Standard,100000,500,1200,AGT102,Standard
POL80522,10/18/23,10/16/24,Workers' Comp Small Business,50000,0,1000,AGT101,Small Business
POL80523,8/12/23,8/10/24,Workers' Comp Small Business,50000,0,1000,AGT103,Small Business
POL80524,6/30/23,6/28/24,Workers' Comp Small Business,50000,0,1000,AGT103,Small Business
